target_length,upsampled_fraction,exact_fraction,downsampled_fraction,relative_input_size_vs_96,median_reconstruction_rmse_pp,p95_reconstruction_rmse_pp,median_peak_error_pp,p95_peak_error_pp,median_ttp_error_ms,p95_ttp_error_ms
32,0.06490384615384616,0.0,0.9350961538461539,0.3333333333333333,0.15462160100064953,0.30984623364423186,0.06583581954718376,0.3655593315440022,6.480483870967705,17.79153225806448
48,0.2668269230769231,0.028846153846153848,0.7043269230769231,0.5,0.08979155961578417,0.1830734288446382,0.03681067364935764,0.2190709547997236,4.644893617021279,12.686276595744708
56,0.4519230769230769,0.038461538461538464,0.5096153846153846,0.5833333333333334,0.07485651659219814,0.15384142910399753,0.030061922598308755,0.18828229202712565,4.069090909090941,11.12568181818179
64,0.6706730769230769,0.021634615384615384,0.3076923076923077,0.6666666666666666,0.06484533775167084,0.1348189411351918,0.02577561891377922,0.15612347969063567,3.4336507936507474,10.026031746031757
65,0.6923076923076923,0.016826923076923076,0.29086538461538464,0.6770833333333334,0.06461110238525392,0.13373681462372175,0.02624999999999922,0.16338631899729705,3.6843749999999935,9.787187499999966
72,0.8221153846153846,0.007211538461538462,0.17067307692307693,0.75,0.05905250136064588,0.12216825189990672,0.024239251897394176,0.14660306378931542,3.4018309859155287,8.90943661971833
80,0.8870192307692307,0.009615384615384616,0.10336538461538461,0.8333333333333334,0.053385064256319684,0.10872443123007786,0.022282475199181917,0.1323571887481818,3.1778481012657904,8.24069620253162
96,0.9663461538461539,0.002403846153846154,0.03125,1.0,0.04453733841264602,0.09081607116961615,0.018919671793323545,0.10872388524307475,2.639368421052663,6.655789473684141
128,0.9807692307692307,0.002403846153846154,0.016826923076923076,1.3333333333333333,0.0328679336232629,0.06777766375972513,0.014149768284037023,0.07880218067335587,1.977007874015771,5.043917322834643
