epoch,train_mse
1,0.9596995843781365
2,0.6175936504646584
3,0.41255520780881244
4,0.3850677333496235
5,0.35359666855246935
6,0.32894635421258434
7,0.28253505406556306
8,0.2478469008648837
9,0.2208070898497546
10,0.20920522731763344
11,0.1971321793066131
12,0.19659863826301363
13,0.1846582630166301
14,0.18005923016203773
15,0.1712585284754082
16,0.15500261303451326
17,0.1432842802670267
18,0.1317469221022394
19,0.12791631867488226
20,0.12018871279778304
21,0.11562972736579401
22,0.11196995719715401
23,0.1075024527532083
24,0.10417218285578268
25,0.09658549712211997
26,0.09246303775796184
27,0.08867712843197363
28,0.08684001090349974
29,0.08438597426370338
30,0.08122859826242482
31,0.07650270181949492
32,0.07413876622363373
33,0.07082135257897554
34,0.06718978423763204
35,0.0670574199822214
36,0.06409765683390477
37,0.06206313589656794
38,0.05997886356932146
39,0.059203806712671565
40,0.05829725842233057
41,0.05704279547488248
42,0.05599015192301185
43,0.05550696866379844
44,0.053690864256134736
45,0.05390890122011856
46,0.0540277109377914
47,0.0524882803912516
48,0.050667252115629335
49,0.05023081780031875
50,0.04942983457887614
51,0.04836627240810129
52,0.04767381123922489
53,0.04756238104568587
54,0.04739807808288821
55,0.04713594402979921
56,0.04670422013711046
57,0.046338174768068174
58,0.0452212113197203
59,0.045937790914818095
60,0.04452853884409975
61,0.0438802777617066
62,0.044531673192977905
63,0.0438111733507227
64,0.042801896731058754
65,0.04248642369552895
66,0.04272765804220129
67,0.04148512478503916
68,0.04169858550583875
69,0.041610629470260056
70,0.04111279664492166
71,0.04080367129709986
72,0.04078606543717561
73,0.04092889900008837
74,0.040276637921730675
75,0.04008494834933016
76,0.03945830029745897
77,0.03892575121588177
78,0.039333724037364674
79,0.039425421644140174
80,0.03887445293366909
81,0.0383561660570127
82,0.03819094142980046
83,0.03765561500633204
84,0.03840973869793945
85,0.037434928188169445
86,0.03720011803562994
87,0.037696685917951445
88,0.03700948327227875
89,0.037193277988720824
90,0.03718533801535765
91,0.036214465827301694
92,0.03634144910783679
93,0.03581157085244303
94,0.03722907333738274
95,0.03655192318061987
96,0.03621702061759101
97,0.035514486125773854
98,0.035623386364292214
99,0.03532027349703842
100,0.03574265318888205
101,0.035207463152430674
102,0.0348020069025181
103,0.03453557779667554
104,0.03435205343972753
105,0.03529454650426352
106,0.03513326944300422
107,0.034984875194452425
108,0.03478972558622007
109,0.03412153040645299
110,0.03405414307834925
111,0.034334212403606484
112,0.03423078592728685
113,0.0343447621497843
114,0.03403710670493267
115,0.03451854749410241
116,0.03395573215352164
117,0.033366278710740584
118,0.03318418279566147
119,0.033728023922001873
120,0.033313608831829496
121,0.032868394904114584
122,0.032996308955329436
123,0.03340328595152608
124,0.033190375193953514
125,0.03236352445350753
126,0.03244787226948473
127,0.03215837202690266
128,0.032046407392179524
129,0.03188218390224157
130,0.032244624501025235
131,0.032223148064480886
132,0.03208855643040604
133,0.03157631294042976
134,0.03126011188659403
135,0.031323422505347816
136,0.031304634693596095
137,0.0317717466365408
138,0.03116609963277976
139,0.031256886682024705
140,0.03125832912822565
141,0.030620529695793434
142,0.030654367542377225
143,0.030534338137065922
144,0.031181857748715965
145,0.030623188794211106
146,0.03109446823321007
147,0.03156576340121252
148,0.030399182052524003
149,0.03035250037080712
150,0.030468971434014815
151,0.0303757698447616
152,0.03068964997375453
153,0.029566920810827502
154,0.02985449149100869
155,0.03012308443861979
156,0.029152970140178997
157,0.02966294299673151
158,0.03045570733094657
159,0.029567930847406387
160,0.02902647459672557
161,0.02826807199528924
162,0.02808238421049383
163,0.028237585461250058
164,0.02844474561236523
165,0.027994081929877953
166,0.027790117249996575
167,0.027309343218803406
168,0.02710458229261416
169,0.027471900676135665
170,0.02698667340532497
171,0.02694749921836235
172,0.027623736403054662
173,0.026762882247567177
174,0.027035957064341615
175,0.02728177703641079
176,0.02643311161685873
177,0.026658643864923053
178,0.02611079749961694
179,0.026377758839064173
180,0.02618048905774399
181,0.026626972895529535
182,0.026057982748305356
183,0.0262072189124646
184,0.02594617133339246
185,0.025907085449607285
186,0.025649771163309062
187,0.0257154896993328
188,0.025621073734429147
189,0.025433420169132727
190,0.02515237557667273
191,0.025039765914833104
192,0.02550678541538892
193,0.025659278656045597
194,0.025440356383721035
195,0.024964934628870752
196,0.02436038561993175
197,0.024649780036674604
198,0.025029984613259632
199,0.025233662997682888
200,0.02489885660233321
201,0.02516546065884608
202,0.025113113086532662
203,0.02479209723295989
204,0.024195646522221743
205,0.0243393630479221
206,0.02459537500032672
207,0.02492083753976557
208,0.024777104181272012
209,0.02425598504918593
210,0.024402046714116027
211,0.024614422754557046
212,0.02409180922916642
213,0.024189028475019667
214,0.02422629020832203
215,0.024330730722458276
216,0.02393223835086381
217,0.023759597912430763
218,0.023707219296031527
219,0.02386513193724332
220,0.024318361654877663
221,0.024159690296208416
222,0.02436471026804712
223,0.024245721391505666
224,0.023839344511981362
225,0.02402488914904771
226,0.024042435818248324
227,0.02380807801253266
228,0.02412637688771442
229,0.023727825325396325
230,0.023527426438199148
231,0.02355750546687179
232,0.023397607866812636
233,0.023297795336003655
234,0.02344153097106351
235,0.023769804862914263
236,0.02453655128677686
237,0.023531581033711082
238,0.023676646597407484
239,0.02352546452096215
240,0.023329864221590536
241,0.023155350445045367
242,0.023225473377991607
243,0.02337683909745128
244,0.023689597086222085
245,0.023618981035219297
246,0.02313866445587741
247,0.023334366993771657
248,0.02291343161077411
249,0.02275745715532038
250,0.022902403647700947
