task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_first_rel15,best_equal_vs_mantis,mantis_random_frozen_curves_scalars,ensemble_equal_cnn_mantis_timemil,238,0.01803260986934463,-0.009903891603994169,0.05031986549652253,0.0292358977685111,-0.021093914578170284,0.07563347844046756
mid_first_rel15,best_equal_vs_timemil,timemil_curves_scalars,ensemble_equal_cnn_mantis_timemil,238,0.04200410322859305,-0.01183050448030729,0.0970050264515793,0.029289364804617524,-0.05050105705386891,0.12050308360182466
mid_first_rel15,best_equal_vs_crossfit,ensemble_crossfit_cnn_mantis_timemil,ensemble_equal_cnn_mantis_timemil,238,0.012309685779073654,-0.00652618910467421,0.030620358449022323,0.032395246116249665,-0.0007226874792760697,0.08117888301668327
mid_first_rel15,equal_cnn_mantis_vs_crossfit,ensemble_crossfit_cnn_mantis,ensemble_equal_cnn_mantis,238,-0.0004319187992658513,-0.02047268482011734,0.018643306379155348,-0.001320189651730419,-0.04188571592882727,0.05380398338164451
