ensemble,repeat,fold,model,weight,train_ap
cnn_timemil,1,4,timemil_curves_scalars,0.1,0.2969253275301876
cnn_timemil,2,0,current_cnn,0.6,0.37841877395167983
cnn_timemil,2,0,timemil_curves_scalars,0.4,0.37841877395167983
cnn_timemil,2,1,current_cnn,0.9,0.3375482189461074
cnn_timemil,2,1,timemil_curves_scalars,0.1,0.3375482189461074
cnn_timemil,2,2,current_cnn,0.9,0.3837437682301265
cnn_timemil,2,2,timemil_curves_scalars,0.1,0.3837437682301265
cnn_timemil,2,3,current_cnn,0.0,0.3610110921395946
cnn_timemil,2,3,timemil_curves_scalars,1.0,0.3610110921395946
cnn_timemil,2,4,current_cnn,0.6,0.30696370157807373
cnn_timemil,2,4,timemil_curves_scalars,0.4,0.30696370157807373
cnn_hierarchical,0,0,current_cnn,1.0,0.3440099170916285
cnn_hierarchical,0,0,timemil_hierarchical_curves_scalars,0.0,0.3440099170916285
cnn_hierarchical,0,1,current_cnn,0.8,0.315012783647707
cnn_hierarchical,0,1,timemil_hierarchical_curves_scalars,0.2,0.315012783647707
cnn_hierarchical,0,2,current_cnn,1.0,0.3404087757766307
cnn_hierarchical,0,2,timemil_hierarchical_curves_scalars,0.0,0.3404087757766307
cnn_hierarchical,0,3,current_cnn,1.0,0.35274271229493676
cnn_hierarchical,0,3,timemil_hierarchical_curves_scalars,0.0,0.35274271229493676
cnn_hierarchical,0,4,current_cnn,1.0,0.3612551046245173
cnn_hierarchical,0,4,timemil_hierarchical_curves_scalars,0.0,0.3612551046245173
cnn_hierarchical,1,0,current_cnn,1.0,0.39304118836392254
cnn_hierarchical,1,0,timemil_hierarchical_curves_scalars,0.0,0.39304118836392254
cnn_hierarchical,1,1,current_cnn,1.0,0.33932611807024327
cnn_hierarchical,1,1,timemil_hierarchical_curves_scalars,0.0,0.33932611807024327
cnn_hierarchical,1,2,current_cnn,1.0,0.33752504574743847
cnn_hierarchical,1,2,timemil_hierarchical_curves_scalars,0.0,0.33752504574743847
cnn_hierarchical,1,3,current_cnn,1.0,0.3569644961731123
cnn_hierarchical,1,3,timemil_hierarchical_curves_scalars,0.0,0.3569644961731123
cnn_hierarchical,1,4,current_cnn,0.8,0.2969068580421745
cnn_hierarchical,1,4,timemil_hierarchical_curves_scalars,0.2,0.2969068580421745
cnn_hierarchical,2,0,current_cnn,1.0,0.37077878152065635
cnn_hierarchical,2,0,timemil_hierarchical_curves_scalars,0.0,0.37077878152065635
cnn_hierarchical,2,1,current_cnn,0.8,0.33065290776598083
cnn_hierarchical,2,1,timemil_hierarchical_curves_scalars,0.2,0.33065290776598083
cnn_hierarchical,2,2,current_cnn,1.0,0.37471779804274
