feature
c1_mean_DN_HistogramMode_5
c1_mean_DN_HistogramMode_10
c1_mean_CO_f1ecac
c1_mean_CO_FirstMin_ac
c1_mean_CO_HistogramAMI_even_2_5
c1_mean_CO_trev_1_num
c1_mean_MD_hrv_classic_pnn40
c1_mean_SB_BinaryStats_mean_longstretch1
c1_mean_SB_TransitionMatrix_3ac_sumdiagcov
c1_mean_PD_PeriodicityWang_th0_01
c1_mean_CO_Embed2_Dist_tau_d_expfit_meandiff
c1_mean_IN_AutoMutualInfoStats_40_gaussian_fmmi
c1_mean_FC_LocalSimple_mean1_tauresrat
c1_mean_DN_OutlierInclude_p_001_mdrmd
c1_mean_DN_OutlierInclude_n_001_mdrmd
c1_mean_SP_Summaries_welch_rect_area_5_1
c1_mean_SB_BinaryStats_diff_longstretch0
c1_mean_SB_MotifThree_quantile_hh
c1_mean_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c1_mean_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c1_mean_SP_Summaries_welch_rect_centroid
c1_mean_FC_LocalSimple_mean3_stderr
c1_std_DN_HistogramMode_5
c1_std_DN_HistogramMode_10
c1_std_CO_f1ecac
c1_std_CO_FirstMin_ac
c1_std_CO_HistogramAMI_even_2_5
c1_std_CO_trev_1_num
c1_std_MD_hrv_classic_pnn40
c1_std_SB_BinaryStats_mean_longstretch1
c1_std_SB_TransitionMatrix_3ac_sumdiagcov
c1_std_PD_PeriodicityWang_th0_01
c1_std_CO_Embed2_Dist_tau_d_expfit_meandiff
c1_std_IN_AutoMutualInfoStats_40_gaussian_fmmi
c1_std_FC_LocalSimple_mean1_tauresrat
c1_std_DN_OutlierInclude_p_001_mdrmd
c1_std_DN_OutlierInclude_n_001_mdrmd
c1_std_SP_Summaries_welch_rect_area_5_1
c1_std_SB_BinaryStats_diff_longstretch0
c1_std_SB_MotifThree_quantile_hh
c1_std_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c1_std_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c1_std_SP_Summaries_welch_rect_centroid
c1_std_FC_LocalSimple_mean3_stderr
c1_min_DN_HistogramMode_5
c1_min_DN_HistogramMode_10
c1_min_CO_f1ecac
c1_min_CO_FirstMin_ac
c1_min_CO_HistogramAMI_even_2_5
c1_min_CO_trev_1_num
c1_min_MD_hrv_classic_pnn40
c1_min_SB_BinaryStats_mean_longstretch1
c1_min_SB_TransitionMatrix_3ac_sumdiagcov
c1_min_PD_PeriodicityWang_th0_01
c1_min_CO_Embed2_Dist_tau_d_expfit_meandiff
c1_min_IN_AutoMutualInfoStats_40_gaussian_fmmi
c1_min_FC_LocalSimple_mean1_tauresrat
c1_min_DN_OutlierInclude_p_001_mdrmd
c1_min_DN_OutlierInclude_n_001_mdrmd
c1_min_SP_Summaries_welch_rect_area_5_1
c1_min_SB_BinaryStats_diff_longstretch0
c1_min_SB_MotifThree_quantile_hh
c1_min_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c1_min_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c1_min_SP_Summaries_welch_rect_centroid
c1_min_FC_LocalSimple_mean3_stderr
c1_max_DN_HistogramMode_5
c1_max_DN_HistogramMode_10
c1_max_CO_f1ecac
c1_max_CO_FirstMin_ac
c1_max_CO_HistogramAMI_even_2_5
c1_max_CO_trev_1_num
c1_max_MD_hrv_classic_pnn40
c1_max_SB_BinaryStats_mean_longstretch1
c1_max_SB_TransitionMatrix_3ac_sumdiagcov
c1_max_PD_PeriodicityWang_th0_01
c1_max_CO_Embed2_Dist_tau_d_expfit_meandiff
c1_max_IN_AutoMutualInfoStats_40_gaussian_fmmi
c1_max_FC_LocalSimple_mean1_tauresrat
c1_max_DN_OutlierInclude_p_001_mdrmd
c1_max_DN_OutlierInclude_n_001_mdrmd
c1_max_SP_Summaries_welch_rect_area_5_1
c1_max_SB_BinaryStats_diff_longstretch0
c1_max_SB_MotifThree_quantile_hh
c1_max_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c1_max_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c1_max_SP_Summaries_welch_rect_centroid
c1_max_FC_LocalSimple_mean3_stderr
c1_median_DN_HistogramMode_5
c1_median_DN_HistogramMode_10
c1_median_CO_f1ecac
c1_median_CO_FirstMin_ac
c1_median_CO_HistogramAMI_even_2_5
c1_median_CO_trev_1_num
c1_median_MD_hrv_classic_pnn40
c1_median_SB_BinaryStats_mean_longstretch1
c1_median_SB_TransitionMatrix_3ac_sumdiagcov
c1_median_PD_PeriodicityWang_th0_01
c1_median_CO_Embed2_Dist_tau_d_expfit_meandiff
c1_median_IN_AutoMutualInfoStats_40_gaussian_fmmi
c1_median_FC_LocalSimple_mean1_tauresrat
c1_median_DN_OutlierInclude_p_001_mdrmd
c1_median_DN_OutlierInclude_n_001_mdrmd
c1_median_SP_Summaries_welch_rect_area_5_1
c1_median_SB_BinaryStats_diff_longstretch0
c1_median_SB_MotifThree_quantile_hh
c1_median_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c1_median_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c1_median_SP_Summaries_welch_rect_centroid
c1_median_FC_LocalSimple_mean3_stderr
c2_mean_DN_HistogramMode_5
c2_mean_DN_HistogramMode_10
c2_mean_CO_f1ecac
c2_mean_CO_FirstMin_ac
c2_mean_CO_HistogramAMI_even_2_5
c2_mean_CO_trev_1_num
c2_mean_MD_hrv_classic_pnn40
c2_mean_SB_BinaryStats_mean_longstretch1
c2_mean_SB_TransitionMatrix_3ac_sumdiagcov
c2_mean_PD_PeriodicityWang_th0_01
c2_mean_CO_Embed2_Dist_tau_d_expfit_meandiff
c2_mean_IN_AutoMutualInfoStats_40_gaussian_fmmi
c2_mean_FC_LocalSimple_mean1_tauresrat
c2_mean_DN_OutlierInclude_p_001_mdrmd
c2_mean_DN_OutlierInclude_n_001_mdrmd
c2_mean_SP_Summaries_welch_rect_area_5_1
c2_mean_SB_BinaryStats_diff_longstretch0
c2_mean_SB_MotifThree_quantile_hh
c2_mean_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c2_mean_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c2_mean_SP_Summaries_welch_rect_centroid
c2_mean_FC_LocalSimple_mean3_stderr
c2_std_DN_HistogramMode_5
c2_std_DN_HistogramMode_10
c2_std_CO_f1ecac
c2_std_CO_FirstMin_ac
c2_std_CO_HistogramAMI_even_2_5
c2_std_CO_trev_1_num
c2_std_MD_hrv_classic_pnn40
c2_std_SB_BinaryStats_mean_longstretch1
c2_std_SB_TransitionMatrix_3ac_sumdiagcov
c2_std_PD_PeriodicityWang_th0_01
c2_std_CO_Embed2_Dist_tau_d_expfit_meandiff
c2_std_IN_AutoMutualInfoStats_40_gaussian_fmmi
c2_std_FC_LocalSimple_mean1_tauresrat
c2_std_DN_OutlierInclude_p_001_mdrmd
c2_std_DN_OutlierInclude_n_001_mdrmd
c2_std_SP_Summaries_welch_rect_area_5_1
c2_std_SB_BinaryStats_diff_longstretch0
c2_std_SB_MotifThree_quantile_hh
c2_std_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c2_std_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c2_std_SP_Summaries_welch_rect_centroid
c2_std_FC_LocalSimple_mean3_stderr
c2_min_DN_HistogramMode_5
c2_min_DN_HistogramMode_10
c2_min_CO_f1ecac
c2_min_CO_FirstMin_ac
c2_min_CO_HistogramAMI_even_2_5
c2_min_CO_trev_1_num
c2_min_MD_hrv_classic_pnn40
c2_min_SB_BinaryStats_mean_longstretch1
c2_min_SB_TransitionMatrix_3ac_sumdiagcov
c2_min_PD_PeriodicityWang_th0_01
c2_min_CO_Embed2_Dist_tau_d_expfit_meandiff
c2_min_IN_AutoMutualInfoStats_40_gaussian_fmmi
c2_min_FC_LocalSimple_mean1_tauresrat
c2_min_DN_OutlierInclude_p_001_mdrmd
c2_min_DN_OutlierInclude_n_001_mdrmd
c2_min_SP_Summaries_welch_rect_area_5_1
c2_min_SB_BinaryStats_diff_longstretch0
c2_min_SB_MotifThree_quantile_hh
c2_min_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1
c2_min_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1
c2_min_SP_Summaries_welch_rect_centroid
c2_min_FC_LocalSimple_mean3_stderr
c2_max_DN_HistogramMode_5
c2_max_DN_HistogramMode_10
c2_max_CO_f1ecac
c2_max_CO_FirstMin_ac
c2_max_CO_HistogramAMI_even_2_5
c2_max_CO_trev_1_num
c2_max_MD_hrv_classic_pnn40
c2_max_SB_BinaryStats_mean_longstretch1
c2_max_SB_TransitionMatrix_3ac_sumdiagcov
c2_max_PD_PeriodicityWang_th0_01
c2_max_CO_Embed2_Dist_tau_d_expfit_meandiff
c2_max_IN_AutoMutualInfoStats_40_gaussian_fmmi
c2_max_FC_LocalSimple_mean1_tauresrat
c2_max_DN_OutlierInclude_p_001_mdrmd
c2_max_DN_OutlierInclude_n_001_mdrmd
