family,model,seed_index,repeat,fold,best_epoch,best_val_loss,parameters,seconds
classical,drcif_curves,2,1,1,,,60,19.571939706802368
classical,rdst_shapelet_curves_and_scalars,2,1,1,,,3600,8.202853918075562
classical,catch22_xgb_curves,2,1,1,,,660,0.42912983894348145
classical,catch22_xgb_curves_scalars,2,1,1,,,756,0.5044550895690918
classical,drcif_curves,0,1,2,,,60,19.3599956035614
classical,rdst_shapelet_curves_and_scalars,0,1,2,,,3600,7.882157325744629
classical,catch22_xgb_curves,0,1,2,,,660,0.44074010848999023
classical,catch22_xgb_curves_scalars,0,1,2,,,756,0.5049262046813965
classical,drcif_curves,1,1,2,,,60,19.097936630249023
classical,rdst_shapelet_curves_and_scalars,1,1,2,,,3600,7.96272873878479
classical,catch22_xgb_curves,1,1,2,,,660,0.44410014152526855
classical,catch22_xgb_curves_scalars,1,1,2,,,756,0.5216488838195801
classical,drcif_curves,2,1,2,,,60,18.587671279907227
classical,rdst_shapelet_curves_and_scalars,2,1,2,,,3600,8.100060939788818
classical,catch22_xgb_curves,2,1,2,,,660,0.42357659339904785
classical,catch22_xgb_curves_scalars,2,1,2,,,756,0.5023961067199707
classical,drcif_curves,0,1,3,,,60,18.448954343795776
classical,rdst_shapelet_curves_and_scalars,0,1,3,,,3600,8.38562297821045
classical,catch22_xgb_curves,0,1,3,,,660,0.4376087188720703
classical,catch22_xgb_curves_scalars,0,1,3,,,756,0.4937450885772705
classical,drcif_curves,1,1,3,,,60,18.508580923080444
classical,rdst_shapelet_curves_and_scalars,1,1,3,,,3600,8.868256568908691
classical,catch22_xgb_curves,1,1,3,,,660,0.4327890872955322
classical,catch22_xgb_curves_scalars,1,1,3,,,756,0.48898768424987793
classical,drcif_curves,2,1,3,,,60,18.618809461593628
classical,rdst_shapelet_curves_and_scalars,2,1,3,,,3600,7.6534953117370605
classical,catch22_xgb_curves,2,1,3,,,660,0.4512646198272705
classical,catch22_xgb_curves_scalars,2,1,3,,,756,0.5245144367218018
classical,drcif_curves,0,1,4,,,60,19.16771149635315
classical,rdst_shapelet_curves_and_scalars,0,1,4,,,3600,7.589004993438721
classical,catch22_xgb_curves,0,1,4,,,660,0.43285608291625977
classical,catch22_xgb_curves_scalars,0,1,4,,,756,0.48071932792663574
classical,drcif_curves,1,1,4,,,60,18.435300827026367
classical,rdst_shapelet_curves_and_scalars,1,1,4,,,3600,8.03835654258728
classical,catch22_xgb_curves,1,1,4,,,660,0.43390822410583496
classical,catch22_xgb_curves_scalars,1,1,4,,,756,0.4664452075958252
classical,drcif_curves,2,1,4,,,60,18.667067527770996
classical,rdst_shapelet_curves_and_scalars,2,1,4,,,3600,8.318459033966064
classical,catch22_xgb_curves,2,1,4,,,660,0.4242217540740967
classical,catch22_xgb_curves_scalars,2,1,4,,,756,0.4752624034881592
classical,drcif_curves,0,2,0,,,60,19.213606595993042
classical,rdst_shapelet_curves_and_scalars,0,2,0,,,3600,8.438722848892212
classical,catch22_xgb_curves,0,2,0,,,660,0.4951200485229492
classical,catch22_xgb_curves_scalars,0,2,0,,,756,0.47978734970092773
classical,drcif_curves,1,2,0,,,60,18.36622142791748
classical,rdst_shapelet_curves_and_scalars,1,2,0,,,3600,8.114725589752197
classical,catch22_xgb_curves,1,2,0,,,660,0.4430983066558838
classical,catch22_xgb_curves_scalars,1,2,0,,,756,0.4830203056335449
classical,drcif_curves,2,2,0,,,60,19.093134880065918
classical,rdst_shapelet_curves_and_scalars,2,2,0,,,3600,7.634520053863525
classical,catch22_xgb_curves,2,2,0,,,660,0.43977856636047363
classical,catch22_xgb_curves_scalars,2,2,0,,,756,0.464022159576416
classical,drcif_curves,0,2,1,,,60,19.358062982559204
classical,rdst_shapelet_curves_and_scalars,0,2,1,,,3600,7.570641756057739
classical,catch22_xgb_curves,0,2,1,,,660,0.45125675201416016
classical,catch22_xgb_curves_scalars,0,2,1,,,756,0.4979996681213379
classical,drcif_curves,1,2,1,,,60,19.136868476867676
classical,rdst_shapelet_curves_and_scalars,1,2,1,,,3600,8.219668865203857
classical,catch22_xgb_curves,1,2,1,,,660,0.44380950927734375
classical,catch22_xgb_curves_scalars,1,2,1,,,756,0.5109646320343018
classical,drcif_curves,2,2,1,,,60,18.517444372177124
classical,rdst_shapelet_curves_and_scalars,2,2,1,,,3600,7.46124005317688
classical,catch22_xgb_curves,2,2,1,,,660,0.44365668296813965
classical,catch22_xgb_curves_scalars,2,2,1,,,756,0.5037240982055664
classical,drcif_curves,0,2,2,,,60,18.58161950111389
classical,rdst_shapelet_curves_and_scalars,0,2,2,,,3600,8.046141624450684
classical,catch22_xgb_curves,0,2,2,,,660,0.4350850582122803
classical,catch22_xgb_curves_scalars,0,2,2,,,756,0.4824674129486084
classical,drcif_curves,1,2,2,,,60,18.32797122001648
classical,rdst_shapelet_curves_and_scalars,1,2,2,,,3600,8.320507049560547
classical,catch22_xgb_curves,1,2,2,,,660,0.42945122718811035
classical,catch22_xgb_curves_scalars,1,2,2,,,756,0.5182747840881348
classical,drcif_curves,2,2,2,,,60,18.6853506565094
classical,rdst_shapelet_curves_and_scalars,2,2,2,,,3600,7.319520950317383
classical,catch22_xgb_curves,2,2,2,,,660,0.4345269203186035
classical,catch22_xgb_curves_scalars,2,2,2,,,756,0.46462392807006836
classical,drcif_curves,0,2,3,,,60,18.579519033432007
