task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_first_rel15,inception_whole_curves_vs_cnn,current_cnn,inception_whole_curves,238,-0.20149011985746673,-0.30231390140667896,-0.0934935614758637,-0.14743689638566798,-0.24445668815884328,-0.05850498995196294
mid_first_rel15,inception_whole_curves_scalars_vs_cnn,current_cnn,inception_whole_curves_scalars,238,-0.19393154087031628,-0.28675209070271174,-0.10214663428172946,-0.14496442217042718,-0.23956379681957338,-0.05115470278993341
mid_first_rel15,inception_segment_curves_vs_cnn,current_cnn,inception_segment_curves,238,-0.07601770867076985,-0.17549638008457386,0.025886210147002764,-0.07238896716443566,-0.16648461420295377,0.03519334202458551
mid_first_rel15,inception_segment_curves_scalars_vs_cnn,current_cnn,inception_segment_curves_scalars,238,-0.07947305906489566,-0.1688595963027009,0.007634086406411983,-0.08879746875592132,-0.17638853931282977,0.008538846921851485
mid_first_rel15,convtran_small_curves_vs_cnn,current_cnn,convtran_small_curves,238,-0.16726055501565695,-0.265481552738796,-0.06297409586206551,-0.12573543767490458,-0.21682134788583105,-0.0354988941824053
mid_first_rel15,convtran_small_curves_scalars_vs_cnn,current_cnn,convtran_small_curves_scalars,238,-0.2023539574559982,-0.3073927349130262,-0.09580442957125644,-0.14523294041978102,-0.24053758495660266,-0.05314555185608351
mid_first_rel15,drcif_curves_vs_cnn,current_cnn,drcif_curves,238,-0.07294028722600143,-0.1740787363583088,0.0299953480428516,-0.05449360620464089,-0.15959895041908947,0.06896685023113547
mid_first_rel15,rdst_shapelet_curves_vs_cnn,current_cnn,rdst_shapelet_curves,238,-0.03800885433538492,-0.14254949920186324,0.061787115674990206,-0.04537313525287412,-0.1533381344149241,0.07574724743370903
mid_first_rel15,rdst_shapelet_curves_scalars_vs_cnn,current_cnn,rdst_shapelet_curves_scalars,238,-0.021272000863837515,-0.11927431775588543,0.07888471129385106,-0.01811191380876781,-0.12065132846910435,0.11181541906969757
mid_first_rel15,catch22_xgb_curves_vs_cnn,current_cnn,catch22_xgb_curves,238,-0.03865673253428348,-0.1453652355232721,0.06736404636219465,-0.04744604990618051,-0.1535616055795414,0.07016969033009864
mid_first_rel15,catch22_xgb_curves_scalars_vs_cnn,current_cnn,catch22_xgb_curves_scalars,238,-0.0367130979375877,-0.13058244382345882,0.05609440984339702,-0.010551994205930892,-0.12125794381659653,0.12721493007263565
mid_first_rel15,drcif_curves_scalar_blend_vs_cnn,current_cnn,drcif_curves_scalar_blend,238,0.0005398984990822031,-0.05716307604457369,0.060451177087304526,-0.00907536629161243,-0.08949573843703765,0.07791702402354568
mid_first_rel15,ensemble_cnn_moment_vs_cnn,current_cnn,ensemble_cnn_moment,238,0.015009178274484447,-0.05392338890594378,0.08281481196289803,0.0135957980914167,-0.07784284271287004,0.12849536774821724
mid_first_rel15,ensemble_cnn_moment_timemil_vs_cnn,current_cnn,ensemble_cnn_moment_timemil,238,0.020408163265306145,-0.04189888398605934,0.08220530833752196,0.015546534742061302,-0.07160172526210247,0.1071715943328311
mid_first_rel15,ensemble_cnn_moment_inception_whole_curves_scalars_vs_cnn,current_cnn,ensemble_cnn_moment_inception_whole_curves_scalars,238,-0.003671309793758626,-0.07430562000548638,0.06062708912442957,-2.5777739761090324e-06,-0.09484210860212532,0.10152614337453579
mid_first_rel15,ensemble_cnn_moment_inception_segment_curves_scalars_vs_cnn,current_cnn,ensemble_cnn_moment_inception_segment_curves_scalars,238,0.005506964690638161,-0.06558784113060409,0.06804950002097257,0.0029693446091880737,-0.08618745758815127,0.1018380393679286
mid_first_rel15,ensemble_cnn_moment_convtran_small_curves_scalars_vs_cnn,current_cnn,ensemble_cnn_moment_convtran_small_curves_scalars,238,0.008530396285498454,-0.062259617153749315,0.0773960351671207,0.006877228322348827,-0.08556884177213389,0.11368802106327267
mid_first_rel15,ensemble_cnn_moment_drcif_curves_scalar_blend_vs_cnn,current_cnn,ensemble_cnn_moment_drcif_curves_scalar_blend,238,0.016736853471547408,-0.051350192269502326,0.08555409945799225,0.02324231593077719,-0.06934361550649344,0.126446267990378
mid_first_rel15,ensemble_cnn_moment_rdst_shapelet_curves_scalars_vs_cnn,current_cnn,ensemble_cnn_moment_rdst_shapelet_curves_scalars,238,0.023647554259799253,-0.05254731902882604,0.10012112332112327,0.022290523357620218,-0.08530902039113945,0.15558270636382168
mid_first_rel15,ensemble_cnn_moment_catch22_xgb_curves_scalars_vs_cnn,current_cnn,ensemble_cnn_moment_catch22_xgb_curves_scalars,238,0.015225137674117373,-0.05464404256756001,0.0856381951229017,0.024675212324036466,-0.06886118530214312,0.13051950120094546
