model,seed_index,roc_auc,average_precision
catch22_xgb_curves,0,0.640427599611273,0.29171484839683676
catch22_xgb_curves,1,0.6456106252024619,0.3060614637766401
catch22_xgb_curves,2,0.6463664831011771,0.29418608980259053
catch22_xgb_curves_scalars,0,0.6449627470035633,0.3193140686954622
catch22_xgb_curves_scalars,1,0.648850016196955,0.3351684769654656
catch22_xgb_curves_scalars,2,0.6482021379980564,0.3251272449514079
convtran_small_curves,0,0.49325126876147285,0.2092740149478109
convtran_small_curves,1,0.5070726703379765,0.21934937284711353
convtran_small_curves,2,0.4922794514631249,0.2185456257094454
convtran_small_curves_scalars,0,0.47888996868588707,0.20251223576035982
convtran_small_curves_scalars,1,0.5365511283878631,0.21851112875958978
convtran_small_curves_scalars,2,0.4849368318756074,0.19643272577490978
drcif_curves,0,0.5821185617103983,0.26641402457882113
drcif_curves,1,0.6308713961775185,0.28527687810469393
drcif_curves,2,0.5950761256883708,0.298987332873834
inception_segment_curves,0,0.608357628765792,0.28311279582170323
inception_segment_curves,1,0.5984234963826801,0.2851727787818711
inception_segment_curves,2,0.575531800021596,0.23948742251195201
inception_segment_curves_scalars,0,0.6151603498542274,0.2775540537933491
inception_segment_curves_scalars,1,0.582010582010582,0.23312644580783398
inception_segment_curves_scalars,2,0.6067379332685455,0.2575381360907033
inception_whole_curves,0,0.43958535795270487,0.17656743630108282
inception_whole_curves,1,0.5408703163805204,0.2182871544410466
inception_whole_curves,2,0.48180542058093084,0.1975251612346161
inception_whole_curves_scalars,0,0.4824532987798294,0.19283017342768138
inception_whole_curves_scalars,1,0.48504481157542384,0.19291234225342963
inception_whole_curves_scalars,2,0.5175467012201705,0.22839588340146866
rdst_shapelet_curves,0,0.6494978943958536,0.2921822309045983
rdst_shapelet_curves,1,0.6340567973221034,0.3057450873491753
rdst_shapelet_curves,2,0.6263902386351367,0.2779198294841333
rdst_shapelet_curves_scalars,0,0.6678544433646474,0.3122514758279724
rdst_shapelet_curves_scalars,1,0.6566245545837383,0.3296134895933408
rdst_shapelet_curves_scalars,2,0.6407515387107224,0.29853144892490224
