model,segment,mean,std
timemil_curves,1,0.05705185896157436,0.011691126773517342
timemil_curves,2,0.054487018141124645,0.01086150121585915
timemil_curves,3,0.05807979919795072,0.013899199229012298
timemil_curves,4,0.05895484219541961,0.013214166289018612
timemil_curves,5,0.0593194888563271,0.012324323632543936
timemil_curves,6,0.0577260256650028,0.01440309508308959
timemil_curves,7,0.05396013050887953,0.009567646274063119
timemil_curves,8,0.05177754268369113,0.007365683861448305
timemil_curves,9,0.05293192512486834,0.00793158100096063
timemil_curves,10,0.05542372941663645,0.01244091411993698
timemil_curves,11,0.057375472341272826,0.012629670535918154
timemil_curves,12,0.05573613215198725,0.010117064801264473
timemil_curves,13,0.056888418861551354,0.010453187070164592
timemil_curves,14,0.05245817679776849,0.007954779606831375
timemil_curves,15,0.052683606615168736,0.00822916305825808
timemil_curves,16,0.05268917862666348,0.007408283227921539
timemil_curves,17,0.054964448192779035,0.009332757704829142
timemil_curves,18,0.05749220899091016,0.013788213471182897
timemil_curves_scalars,1,0.0558434312990984,0.0034259681132880423
timemil_curves_scalars,2,0.055474932965853825,0.0029555532718720788
timemil_curves_scalars,3,0.056533256181742715,0.003870999913944195
timemil_curves_scalars,4,0.056509839297475745,0.003502239707103269
timemil_curves_scalars,5,0.056607402573503995,0.003693110851893726
timemil_curves_scalars,6,0.056405660744263404,0.003471313601402051
timemil_curves_scalars,7,0.05530503879892131,0.0030735794914481386
timemil_curves_scalars,8,0.05442843613696104,0.0022898309429402706
timemil_curves_scalars,9,0.054938154940751674,0.0028599272398434302
timemil_curves_scalars,10,0.055194024458339735,0.0029827836793117155
timemil_curves_scalars,11,0.05613697658414256,0.0032264645918178895
timemil_curves_scalars,12,0.05600770955862274,0.0032683317722664953
timemil_curves_scalars,13,0.055236866610602106,0.0025880152606083257
timemil_curves_scalars,14,0.05490042997363705,0.0028625465480936574
timemil_curves_scalars,15,0.05471731865575083,0.0028475616718090066
timemil_curves_scalars,16,0.05452442952791745,0.0024201093812820087
timemil_curves_scalars,17,0.05543453801137654,0.0031228747945469073
timemil_curves_scalars,18,0.055801553807237,0.0036109252156006346
