model,repeat,fold,best_epoch,best_val_loss,parameters,seconds,iterations,loss_first,loss_last,pca_components
ts2vec_ssl_curves_scalars,0,2,,,129.0,0.0273878574371337,,,,32.0
ts2vec_random_curves,0,2,,,33.0,0.0241432189941406,,,,32.0
ts2vec_random_curves_scalars,0,2,,,129.0,0.0271415710449218,,,,32.0
ts2vec_ssl_pretraining,0,3,,,,19.28947734832764,200.0,2.6576879068657204,2.6576879068657204,
ts2vec_ssl_curves,0,3,,,33.0,0.0246081352233886,,,,32.0
ts2vec_ssl_curves_scalars,0,3,,,129.0,0.0246081352233886,,,,32.0
ts2vec_random_curves,0,3,,,33.0,0.016190767288208,,,,32.0
ts2vec_random_curves_scalars,0,3,,,129.0,0.0318512916564941,,,,32.0
ts2vec_ssl_pretraining,0,4,,,,19.65372061729431,200.0,2.4356251112500527,2.4356251112500527,
ts2vec_ssl_curves,0,4,,,33.0,0.0256648063659667,,,,32.0
ts2vec_ssl_curves_scalars,0,4,,,129.0,0.0256648063659667,,,,32.0
ts2vec_random_curves,0,4,,,33.0,0.0296399593353271,,,,32.0
ts2vec_random_curves_scalars,0,4,,,129.0,0.0296399593353271,,,,32.0
ts2vec_ssl_pretraining,1,0,,,,19.977224349975582,200.0,2.4078286977214667,2.4078286977214667,
ts2vec_ssl_curves,1,0,,,33.0,0.0156290531158447,,,,32.0
ts2vec_ssl_curves_scalars,1,0,,,129.0,0.0156290531158447,,,,32.0
ts2vec_random_curves,1,0,,,33.0,0.0131504535675048,,,,32.0
ts2vec_random_curves_scalars,1,0,,,129.0,0.0287816524505615,,,,32.0
ts2vec_ssl_pretraining,1,1,,,,19.81045365333557,200.0,2.503523538883468,2.503523538883468,
ts2vec_ssl_curves,1,1,,,33.0,0.0172963142395019,,,,32.0
ts2vec_ssl_curves_scalars,1,1,,,129.0,0.0172963142395019,,,,32.0
ts2vec_random_curves,1,1,,,33.0,0.0361757278442382,,,,32.0
ts2vec_random_curves_scalars,1,1,,,129.0,0.039175271987915,,,,32.0
ts2vec_ssl_pretraining,1,2,,,,17.15017557144165,200.0,2.459071144010081,2.459071144010081,
ts2vec_ssl_curves,1,2,,,33.0,0.0245349407196044,,,,32.0
ts2vec_ssl_curves_scalars,1,2,,,129.0,0.0245349407196044,,,,32.0
ts2vec_random_curves,1,2,,,33.0,0.0311574935913085,,,,32.0
ts2vec_random_curves_scalars,1,2,,,129.0,0.0311574935913085,,,,32.0
ts2vec_ssl_pretraining,1,3,,,,19.804911613464355,200.0,2.2993353438728,2.2993353438728,
ts2vec_ssl_curves,1,3,,,33.0,0.0156240463256835,,,,32.0
ts2vec_ssl_curves_scalars,1,3,,,129.0,0.0156240463256835,,,,32.0
ts2vec_random_curves,1,3,,,33.0,0.0221309661865234,,,,32.0
ts2vec_random_curves_scalars,1,3,,,129.0,0.0380847454071044,,,,32.0
ts2vec_ssl_pretraining,1,4,,,,19.967968702316284,200.0,2.239573055640199,2.239573055640199,
ts2vec_ssl_curves,1,4,,,33.0,0.0201361179351806,,,,32.0
ts2vec_ssl_curves_scalars,1,4,,,129.0,0.0201361179351806,,,,32.0
ts2vec_random_curves,1,4,,,33.0,0.031686782836914,,,,32.0
ts2vec_random_curves_scalars,1,4,,,129.0,0.031686782836914,,,,32.0
ts2vec_ssl_pretraining,2,0,,,,19.698495149612427,200.0,2.396874584314477,2.396874584314477,
ts2vec_ssl_curves,2,0,,,33.0,0.0256450176239013,,,,32.0
ts2vec_ssl_curves_scalars,2,0,,,129.0,0.0256450176239013,,,,32.0
ts2vec_random_curves,2,0,,,33.0,0.0312511920928955,,,,32.0
ts2vec_random_curves_scalars,2,0,,,129.0,0.0312511920928955,,,,32.0
ts2vec_ssl_pretraining,2,1,,,,20.169039964675903,200.0,2.5216889045856616,2.5216889045856616,
ts2vec_ssl_curves,2,1,,,33.0,0.0281710624694824,,,,32.0
ts2vec_ssl_curves_scalars,2,1,,,129.0,0.0302114486694335,,,,32.0
ts2vec_random_curves,2,1,,,33.0,0.0293357372283935,,,,32.0
ts2vec_random_curves_scalars,2,1,,,129.0,0.0323362350463867,,,,32.0
ts2vec_ssl_pretraining,2,2,,,,19.83295845985413,200.0,2.394292760612373,2.394292760612373,
ts2vec_ssl_curves,2,2,,,33.0,0.0266427993774414,,,,32.0
ts2vec_ssl_curves_scalars,2,2,,,129.0,0.0266427993774414,,,,32.0
ts2vec_random_curves,2,2,,,33.0,0.0312497615814209,,,,32.0
ts2vec_random_curves_scalars,2,2,,,129.0,0.0312497615814209,,,,32.0
ts2vec_ssl_pretraining,2,3,,,,19.11193346977234,200.0,2.435808874610672,2.435808874610672,
ts2vec_ssl_curves,2,3,,,33.0,0.0225286483764648,,,,32.0
ts2vec_ssl_curves_scalars,2,3,,,129.0,0.0253725051879882,,,,32.0
ts2vec_random_curves,2,3,,,33.0,0.02197265625,,,,32.0
ts2vec_random_curves_scalars,2,3,,,129.0,0.0249719619750976,,,,32.0
ts2vec_ssl_pretraining,2,4,,,,20.032065391540527,200.0,2.3464402719780253,2.3464402719780253,
ts2vec_ssl_curves,2,4,,,33.0,0.0256640911102294,,,,32.0
ts2vec_ssl_curves_scalars,2,4,,,129.0,0.0256640911102294,,,,32.0
ts2vec_random_curves,2,4,,,33.0,0.03125,,,,32.0
ts2vec_random_curves_scalars,2,4,,,129.0,0.03125,,,,32.0
scalar_mlp,0,0,20.0,1.4744244813919067,9506.0,1.5322165489196775,,,,
scalar_mlp,0,1,13.0,0.938299000263214,9506.0,1.2013120651245115,,,,
scalar_mlp,0,2,13.0,1.358879804611206,9506.0,1.2096915245056152,,,,
scalar_mlp,0,3,18.0,1.1222646236419678,9506.0,1.5052573680877686,,,,
