model,temporal_patch,mean,std
timemil_curves,1,0.09388324824218568,0.0269107545323773
timemil_curves,2,0.09915157672440429,0.027093475935521177
timemil_curves,3,0.08198208557520092,0.01494436200134013
timemil_curves,4,0.09185042046499635,0.020345032466474563
timemil_curves,5,0.09371210720503562,0.015423707809763026
timemil_curves,6,0.07710082663962727,0.014807264958232692
timemil_curves,7,0.08230540520137865,0.012030529993397002
timemil_curves,8,0.07114660683403011,0.01195347367770912
timemil_curves,9,0.07648064137315143,0.012044730756392095
timemil_curves,10,0.07619089589546192,0.010877636418600057
timemil_curves,11,0.0798108739658071,0.015377212086632681
timemil_curves,12,0.0763853152082967,0.017471300767288773
timemil_curves_scalars,1,0.0857352668834271,0.012683463641562203
timemil_curves_scalars,2,0.09309414576566896,0.01608587074518344
timemil_curves_scalars,3,0.07741698889187028,0.00913816623391403
timemil_curves_scalars,4,0.0999910712795833,0.01763655660233161
timemil_curves_scalars,5,0.08508558762201085,0.0076298180992355885
timemil_curves_scalars,6,0.07747799971438318,0.006142636467351818
timemil_curves_scalars,7,0.08530082642746416,0.010368890193876594
timemil_curves_scalars,8,0.07372398184761092,0.00658952087143029
timemil_curves_scalars,9,0.08626595378399458,0.006830079114270053
timemil_curves_scalars,10,0.08016417082301301,0.008074128263683058
timemil_curves_scalars,11,0.07807442624446694,0.010719740775142206
timemil_curves_scalars,12,0.07766958084270484,0.010551199506566772
