model,repeat,fold,device,best_epoch,epochs_run,best_validation_loss,seconds,parameter_count,scalar_features
controlled_shape_qc,0,1,NVIDIA GeForce RTX 4060 Ti,25,60,0.9189079403877258,2.6209726333618164,13290,24
controlled_shape_qc,0,2,NVIDIA GeForce RTX 4060 Ti,22,57,1.3730530738830566,2.53657341003418,13290,24
controlled_shape_qc,0,3,NVIDIA GeForce RTX 4060 Ti,21,56,1.147372484207153,2.4748101234436035,13290,24
controlled_shape_qc,0,4,NVIDIA GeForce RTX 4060 Ti,21,56,1.2775821685791016,2.458712100982666,13290,24
controlled_shape_qc,1,0,NVIDIA GeForce RTX 4060 Ti,29,64,1.0178333520889282,2.806358337402344,13290,24
controlled_shape_qc,1,1,NVIDIA GeForce RTX 4060 Ti,30,65,1.242645502090454,2.9057233333587646,13290,24
controlled_shape_qc,1,2,NVIDIA GeForce RTX 4060 Ti,23,58,1.1893121004104614,2.5528807640075684,13290,24
controlled_shape_qc,1,3,NVIDIA GeForce RTX 4060 Ti,21,56,1.2218742370605469,2.4570388793945312,13290,24
controlled_shape_qc,1,4,NVIDIA GeForce RTX 4060 Ti,27,62,0.9788567423820496,2.7583069801330566,13290,24
controlled_shape_qc,2,0,NVIDIA GeForce RTX 4060 Ti,17,52,1.0443239212036133,2.269592523574829,13290,24
controlled_shape_qc,2,1,NVIDIA GeForce RTX 4060 Ti,1,36,1.127677321434021,1.5846786499023438,13290,24
controlled_shape_qc,2,2,NVIDIA GeForce RTX 4060 Ti,15,50,1.0208255052566528,2.197603464126587,13290,24
controlled_shape_qc,2,3,NVIDIA GeForce RTX 4060 Ti,25,60,1.0366655588150024,2.6657564640045166,13290,24
controlled_shape_qc,2,4,NVIDIA GeForce RTX 4060 Ti,26,61,0.9402549862861632,2.7372779846191406,13290,24
controlled18_fixed_qc,0,0,NVIDIA GeForce RTX 4060 Ti,29,64,1.3948091268539429,2.5262770652770996,13290,24
controlled18_fixed_qc,0,1,NVIDIA GeForce RTX 4060 Ti,25,60,0.9165430665016174,2.0544064044952393,13290,24
controlled18_fixed_qc,0,2,NVIDIA GeForce RTX 4060 Ti,22,57,1.3726592063903809,2.0905442237854004,13290,24
controlled18_fixed_qc,0,3,NVIDIA GeForce RTX 4060 Ti,21,56,1.146952509880066,2.336606502532959,13290,24
controlled18_fixed_qc,0,4,NVIDIA GeForce RTX 4060 Ti,21,56,1.2795194387435913,2.5897343158721924,13290,24
controlled18_fixed_qc,1,0,NVIDIA GeForce RTX 4060 Ti,28,63,1.0188186168670654,2.971395969390869,13290,24
controlled18_fixed_qc,1,1,NVIDIA GeForce RTX 4060 Ti,30,65,1.250269889831543,3.1751549243927,13290,24
controlled18_fixed_qc,1,2,NVIDIA GeForce RTX 4060 Ti,23,58,1.1898910999298096,2.867328405380249,13290,24
controlled18_fixed_qc,1,3,NVIDIA GeForce RTX 4060 Ti,23,58,1.2184715270996094,2.8740851879119873,13290,24
controlled18_fixed_qc,1,4,NVIDIA GeForce RTX 4060 Ti,27,62,0.9771679043769836,3.0465211868286133,13290,24
controlled18_fixed_qc,2,0,NVIDIA GeForce RTX 4060 Ti,17,52,1.043601632118225,2.5367863178253174,13290,24
controlled18_fixed_qc,2,1,NVIDIA GeForce RTX 4060 Ti,1,36,1.1276317834854126,1.7903668880462646,13290,24
controlled18_fixed_qc,2,2,NVIDIA GeForce RTX 4060 Ti,18,53,1.0209922790527344,2.612619400024414,13290,24
controlled18_fixed_qc,2,3,NVIDIA GeForce RTX 4060 Ti,35,70,1.0306628942489624,3.4681928157806396,13290,24
controlled18_fixed_qc,2,4,NVIDIA GeForce RTX 4060 Ti,26,61,0.9386841654777527,2.9786951541900635,13290,24
controlled18_shape_qc,0,0,NVIDIA GeForce RTX 4060 Ti,29,64,1.4125181436538696,3.228585958480835,13290,24
controlled18_shape_qc,0,1,NVIDIA GeForce RTX 4060 Ti,24,59,0.9082430601119995,3.121321439743042,13290,24
controlled18_shape_qc,0,2,NVIDIA GeForce RTX 4060 Ti,20,55,1.38123619556427,2.682077169418335,13290,24
controlled18_shape_qc,0,3,NVIDIA GeForce RTX 4060 Ti,20,55,1.1474010944366455,2.673583984375,13290,24
controlled18_shape_qc,0,4,NVIDIA GeForce RTX 4060 Ti,21,56,1.2798162698745728,2.69012188911438,13290,24
controlled18_shape_qc,1,0,NVIDIA GeForce RTX 4060 Ti,27,62,1.0210198163986206,2.9897775650024414,13290,24
controlled18_shape_qc,1,1,NVIDIA GeForce RTX 4060 Ti,30,65,1.2458596229553223,3.1576619148254395,13290,24
controlled18_shape_qc,1,2,NVIDIA GeForce RTX 4060 Ti,23,58,1.196579933166504,2.8059537410736084,13290,24
controlled18_shape_qc,1,3,NVIDIA GeForce RTX 4060 Ti,23,58,1.2156585454940796,2.8202593326568604,13290,24
controlled18_shape_qc,1,4,NVIDIA GeForce RTX 4060 Ti,27,62,0.9689337015151978,2.958099365234375,13290,24
controlled18_shape_qc,2,0,NVIDIA GeForce RTX 4060 Ti,17,52,1.043338656425476,2.4563205242156982,13290,24
controlled18_shape_qc,2,1,NVIDIA GeForce RTX 4060 Ti,1,36,1.1276227235794067,1.7066552639007568,13290,24
controlled18_shape_qc,2,2,NVIDIA GeForce RTX 4060 Ti,15,50,1.0213608741760254,2.351248025894165,13290,24
controlled18_shape_qc,2,3,NVIDIA GeForce RTX 4060 Ti,25,60,1.0343704223632812,2.893322706222534,13290,24
controlled18_shape_qc,2,4,NVIDIA GeForce RTX 4060 Ti,26,61,0.9329649209976196,2.9384772777557373,13290,24
