policy,feature_set,feature
noapex,clinical_plus_transmural,d_tm_peak_ratio_median
noapex,clinical_plus_transmural,cur_tm_peak_ratio_std
noapex,clinical_plus_transmural,d_tm_peak_ratio_std
noapex,clinical_plus_transmural,cur_tm_peak_ratio_robust_sd
noapex,clinical_plus_transmural,d_tm_peak_ratio_robust_sd
noapex,clinical_plus_transmural,cur_tm_peak_ratio_iqr
noapex,clinical_plus_transmural,d_tm_peak_ratio_iqr
noapex,clinical_plus_transmural,cur_tm_ttp_gap_mean
noapex,clinical_plus_transmural,d_tm_ttp_gap_mean
noapex,clinical_plus_transmural,cur_tm_ttp_gap_median
noapex,clinical_plus_transmural,d_tm_ttp_gap_median
noapex,clinical_plus_transmural,cur_tm_ttp_gap_std
noapex,clinical_plus_transmural,d_tm_ttp_gap_std
noapex,clinical_plus_transmural,cur_tm_ttp_gap_robust_sd
noapex,clinical_plus_transmural,d_tm_ttp_gap_robust_sd
noapex,clinical_plus_transmural,cur_tm_ttp_gap_iqr
noapex,clinical_plus_transmural,d_tm_ttp_gap_iqr
noapex,clinical_plus_transmural,cur_tm_curve_rms_mean
noapex,clinical_plus_transmural,d_tm_curve_rms_mean
noapex,clinical_plus_transmural,cur_tm_curve_rms_median
noapex,clinical_plus_transmural,d_tm_curve_rms_median
noapex,clinical_plus_transmural,cur_tm_curve_rms_std
noapex,clinical_plus_transmural,d_tm_curve_rms_std
noapex,clinical_plus_transmural,cur_tm_curve_rms_robust_sd
noapex,clinical_plus_transmural,d_tm_curve_rms_robust_sd
noapex,clinical_plus_transmural,cur_tm_curve_rms_iqr
noapex,clinical_plus_transmural,d_tm_curve_rms_iqr
noapex,clinical_plus_transmural,cur_tm_shape_rms_mean
noapex,clinical_plus_transmural,d_tm_shape_rms_mean
noapex,clinical_plus_transmural,cur_tm_shape_rms_median
noapex,clinical_plus_transmural,d_tm_shape_rms_median
noapex,clinical_plus_transmural,cur_tm_shape_rms_std
noapex,clinical_plus_transmural,d_tm_shape_rms_std
noapex,clinical_plus_transmural,cur_tm_shape_rms_robust_sd
noapex,clinical_plus_transmural,d_tm_shape_rms_robust_sd
noapex,clinical_plus_transmural,cur_tm_shape_rms_iqr
noapex,clinical_plus_transmural,d_tm_shape_rms_iqr
noapex,clinical_plus_transmural,cur_tm_segment_curve_correlation_mean
noapex,clinical_plus_transmural,d_tm_segment_curve_correlation_mean
noapex,clinical_plus_transmural,cur_tm_segment_curve_correlation_median
noapex,clinical_plus_transmural,d_tm_segment_curve_correlation_median
noapex,clinical_plus_transmural,cur_tm_segment_curve_correlation_std
noapex,clinical_plus_transmural,d_tm_segment_curve_correlation_std
noapex,clinical_plus_transmural,cur_tm_segment_curve_correlation_robust_sd
noapex,clinical_plus_transmural,d_tm_segment_curve_correlation_robust_sd
