outcome,model,feature_set,n_features,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,alerts_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high,sensitivity_top20pct_ci_low,sensitivity_top20pct_ci_high,precision_top20pct_ci_low,precision_top20pct_ci_high
mid_gls_relative_drop_10,clinical_ridge,clinical,12,101,46,0.45544554455445546,0.7304347826086957,0.6922056223588945,0.21962968199986588,0.34782608695652173,0.7619047619047619,21,0.6316698357708164,0.8158065015479876,0.5517336469047427,0.8225530027829385,0.20328778706540168,0.23691244843661474,0.26187888198757764,0.4358974358974359,0.5714285714285714,0.9523809523809523
mid_gls_relative_drop_10,transmural_only_sparse,transmural,245,101,46,0.45544554455445546,0.5774703557312253,0.5167513174835332,0.2688240457695728,0.2391304347826087,0.5238095238095238,21,0.4649168355285377,0.694075924965982,0.3990897524684317,0.6799144107520554,0.22639582044467135,0.3105608368859819,0.13725490196078433,0.3333333333333333,0.2857142857142857,0.7142857142857143
mid_gls_relative_drop_10,variability_only_sparse,variability,108,101,46,0.45544554455445546,0.6928853754940713,0.6262591725700501,0.22346348916544265,0.2826086956521739,0.6190476190476191,21,0.5880932507342282,0.7889117647058823,0.5011637683127995,0.7694122674850968,0.19111220895875447,0.25761789492173803,0.20453385899814472,0.38781732205077146,0.42857142857142855,0.8571428571428571
mid_gls_relative_drop_10,clinical_plus_transmural,clinical_plus_transmural,257,101,46,0.45544554455445546,0.6071146245059289,0.5866860608525822,0.2471705147957477,0.2608695652173913,0.5714285714285714,21,0.4928765272702414,0.7112028679705998,0.4673921898041203,0.7413228578625697,0.21355644613474675,0.28462922051380735,0.16326530612244897,0.369628412537917,0.3333333333333333,0.8571428571428571
mid_gls_relative_drop_10,clinical_plus_variability,clinical_plus_variability,120,101,46,0.45544554455445546,0.7632411067193676,0.7128395072269276,0.21465928581300714,0.32608695652173914,0.7142857142857143,21,0.6569754284352426,0.853223452501568,0.5647781169746535,0.847573978313708,0.1938219548846949,0.2374404208203001,0.25489304812834224,0.4390781922525107,0.5238095238095238,0.9047619047619048
mid_gls_relative_drop_10,combined_sparse,combined,365,101,46,0.45544554455445546,0.5944664031620553,0.5811369671700729,0.25107646330063477,0.2608695652173913,0.5714285714285714,21,0.4815653278260456,0.7086718119872063,0.45615442752294966,0.7205305049839376,0.2165935656529537,0.28589351210190783,0.1777450980392157,0.346960958296362,0.3333333333333333,0.7619047619047619
mid_gls_relative_drop_10,combined_extra_trees,combined,365,101,46,0.45544554455445546,0.6541501976284586,0.6078308485361346,0.23333767780509995,0.2826086956521739,0.6190476190476191,21,0.5479150841297067,0.7545593692022264,0.4797990987583292,0.7458029039217001,0.20214929499079828,0.2633210188535077,0.18181818181818182,0.36585365853658536,0.38095238095238093,0.8095238095238095
mid_gls_relative_drop_12,clinical_ridge,clinical,12,101,40,0.39603960396039606,0.6815573770491804,0.5479138428469925,0.22260327480391479,0.325,0.6190476190476191,21,0.5644558987624264,0.7919896755912992,0.41065354728522957,0.7410913733258812,0.19659100199687998,0.2526823788903887,0.20512820512820512,0.4167338709677419,0.38095238095238093,0.8095238095238095
mid_gls_relative_drop_12,transmural_only_sparse,transmural,245,101,40,0.39603960396039606,0.6139344262295082,0.5121650366559405,0.2423007537139887,0.275,0.5238095238095238,21,0.4991444800525905,0.7241827091099718,0.3724952171329077,0.6681395430703407,0.20392095565897717,0.28206680332877243,0.1794871794871795,0.38636363636363635,0.3333333333333333,0.7619047619047619
mid_gls_relative_drop_12,variability_only_sparse,variability,108,101,40,0.39603960396039606,0.6344262295081967,0.4865529384457037,0.23426299735395123,0.3,0.5714285714285714,21,0.5138270063270064,0.7460430698333924,0.35977572285206394,0.6676067856276524,0.2065035006726331,0.26396940847859984,0.17647058823529413,0.40540540540540543,0.2857142857142857,0.7619047619047619
