variant,repeat,fold,channels,parameters,best_epoch,epochs_run,best_validation_loss,seconds,device
attention_separate4,2,1,4,17267,16,41,1.1181063652038574,2.2513296604156494,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,2,1,4,17267,16,41,1.1185336112976074,2.2943432331085205,NVIDIA GeForce RTX 4060 Ti
attention_full6,2,2,6,17491,22,47,0.9866178035736084,2.84635853767395,NVIDIA GeForce RTX 4060 Ti
attention_gap2,2,2,2,17043,6,31,1.020967721939087,1.5808699131011963,NVIDIA GeForce RTX 4060 Ti
attention_separate4,2,2,4,17267,16,41,1.016295313835144,2.293896198272705,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,2,2,4,17267,17,42,1.0145881175994873,2.631589412689209,NVIDIA GeForce RTX 4060 Ti
attention_full6,2,3,6,17491,17,42,1.116335153579712,2.5606114864349365,NVIDIA GeForce RTX 4060 Ti
attention_gap2,2,3,2,17043,22,47,1.0800416469573975,2.4533493518829346,NVIDIA GeForce RTX 4060 Ti
attention_separate4,2,3,4,17267,19,44,1.1123669147491455,2.4648358821868896,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,2,3,4,17267,19,44,1.1188945770263672,2.4445698261260986,NVIDIA GeForce RTX 4060 Ti
attention_full6,2,4,6,17491,32,57,0.9316427707672119,3.3989264965057373,NVIDIA GeForce RTX 4060 Ti
attention_gap2,2,4,2,17043,32,57,0.9375905990600586,2.9607155323028564,NVIDIA GeForce RTX 4060 Ti
attention_separate4,2,4,4,17267,33,58,0.9393527507781982,3.284619092941284,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,2,4,4,17267,36,61,0.9479750394821167,3.3962972164154053,NVIDIA GeForce RTX 4060 Ti
