task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel15,clinical_ridge,238,49,0.20588235294117646,0.6309253860274269,0.28946554159244087,0.23562046919296983,0.32653061224489793,0.3333333333333333,0.5347081871171118,0.7236395995788232,0.2056493349199093,0.4333336760795127,0.21133579190288737,0.2606593919403405
mid_first_rel15,combined_extra_trees,238,49,0.20588235294117646,0.6718496922578556,0.3131839647427732,0.16761129647413114,0.30612244897959184,0.3125,0.5913259500850822,0.7518827885597549,0.2261611765397723,0.4452262795957677,0.14481758971872644,0.19029777660198285
mid_first_rel15,attention_full6,238,49,0.20588235294117646,0.6826476622394989,0.33948083626180037,0.22365255547154125,0.2653061224489796,0.2708333333333333,0.6023999418332712,0.7575956495905345,0.24827251971133285,0.45840660457748666,0.20910848286588665,0.2382319178746653
mid_first_rel15,attention_gap2,238,49,0.20588235294117646,0.6685563114134544,0.30833644049177134,0.22566138529959118,0.3469387755102041,0.3541666666666667,0.5823345243877055,0.752582750046049,0.22487725641501047,0.4563085019637182,0.21152073952738545,0.23923615314041496
mid_first_rel15,attention_separate4,238,49,0.20588235294117646,0.6823777129899579,0.3131833089732131,0.21975397991132434,0.32653061224489793,0.3333333333333333,0.6012223695091115,0.7667290889053949,0.23047666320290716,0.45945334734242066,0.2049129021033833,0.23411725253344254
mid_first_rel15,attention_gap_shape4,238,49,0.20588235294117646,0.6747651441528993,0.29862701814698134,0.21664531883988786,0.32653061224489793,0.3333333333333333,0.5948088985594238,0.7522407413383885,0.22413554701307245,0.43189549159301815,0.20135368041436846,0.23100691878240048
