task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel15,clinical_ridge,238,49,0.20588235294117646,0.6309253860274269,0.28946554159244087,0.23562046919296983,0.32653061224489793,0.3333333333333333,0.5349998354541465,0.7240162259175988,0.2081735240833825,0.42622457076287484,0.21012174131857025,0.2611487110064233
mid_first_rel15,current_cnn,238,49,0.20588235294117646,0.6826476622394989,0.33948083626180037,0.22365255547154125,0.2653061224489796,0.2708333333333333,0.5991759234098175,0.7620193361355676,0.2414856986247482,0.4627504269568163,0.20814229123684214,0.2385392873612213
mid_first_rel15,mantis_v2_frozen_curves,238,49,0.20588235294117646,0.6207752942446819,0.26930526284861056,0.22704399245999987,0.2653061224489796,0.2708333333333333,0.5348909960788182,0.702594159439717,0.20071853123884317,0.3809415434993616,0.19741253603674203,0.25716030682862623
mid_first_rel15,mantis_v2_frozen_curves_scalars,238,49,0.20588235294117646,0.6335168988230213,0.26933618871644954,0.22739771578523285,0.24489795918367346,0.25,0.5493900612887375,0.7170815459884899,0.20038667107076225,0.39814445504077706,0.1919670671869929,0.26262962052082456
mid_first_rel15,mantis_random_frozen_curves,238,49,0.20588235294117646,0.6686103012633625,0.32120802291160444,0.21119383169060202,0.30612244897959184,0.3125,0.5836739415612421,0.7505780223013233,0.23038095433896663,0.45345950367992627,0.18523445374900033,0.23726068797727512
mid_first_rel15,mantis_random_frozen_curves_scalars,238,49,0.20588235294117646,0.70229996760609,0.33672752646505,0.20227255121842577,0.32653061224489793,0.3333333333333333,0.6225992417859778,0.7814124613812883,0.25060516149108,0.4739761176869247,0.17008760707477916,0.2355596213343958
mid_first_rel15,moment_small_frozen_curves,238,49,0.20588235294117646,0.6640751538710722,0.3115586603711023,0.21003497513587358,0.32653061224489793,0.3333333333333333,0.5841399387671227,0.7401064272063671,0.2306349277579184,0.44151787416681837,0.18404597368120618,0.236383747838569
mid_first_rel15,moment_small_frozen_curves_scalars,238,49,0.20588235294117646,0.6784364539466581,0.33475091831415205,0.20736491482753358,0.32653061224489793,0.3333333333333333,0.5967109986533595,0.7582277139535464,0.24878482849005232,0.4656390331854378,0.174899623302049,0.2402055736028264
mid_first_rel15,mantis_v2_adapter_curves,238,49,0.20588235294117646,0.5502645502645502,0.22984567488025617,0.23492676773875956,0.1836734693877551,0.1875,0.462329951320118,0.640302028558119,0.1688958376186905,0.333298183237035,0.22145235065193583,0.24889451362246964
mid_first_rel15,mantis_v2_adapter_curves_scalars,238,49,0.20588235294117646,0.6173199438505561,0.25372425631867074,0.2263556196103693,0.2653061224489796,0.2708333333333333,0.5283137752492034,0.7053585558009037,0.1877476892814726,0.3644011175820948,0.2112251749199264,0.2410568873702781
mid_first_rel15,multirocket_whole_curves,238,49,0.20588235294117646,0.523377605010258,0.2611616245752742,0.16255657462496984,0.1836734693877551,0.1875,0.42794274004466876,0.6136442268668831,0.1755562584482937,0.3805845951155809,0.1335132326409396,0.19541119252859288
mid_first_rel15,multirocket_whole_curves_scalars,238,49,0.20588235294117646,0.5266169960047511,0.2580847913231573,0.16247135502631488,0.1836734693877551,0.1875,0.4308107030900134,0.6192769521507987,0.1764402378460075,0.3826063133755737,0.1342244077602935,0.19687566055714179
mid_first_rel15,multirocket_segment_curves,238,49,0.20588235294117646,0.5970197602850664,0.28065293257497714,0.1608002126205554,0.24489795918367346,0.25,0.51489896524795,0.684277834398698,0.20275689423526952,0.393007609177611,0.13150254765092462,0.19130405437369102
mid_first_rel15,multirocket_segment_curves_scalars,238,49,0.20588235294117646,0.5978835978835979,0.2814432801478623,0.16075645754520546,0.24489795918367346,0.25,0.5210999132961842,0.6744212507497279,0.20702383926082996,0.39189091380943597,0.1316305797317777,0.19386523030994154
