model,repeat,fold,train_n,test_n,pca_components,seconds,best_epoch,best_val_loss,parameters,features
moment_small_frozen_curves,0,1,186.0,52.0,32.0,0.07396888732910156,,,,
moment_small_frozen_curves_scalars,0,1,186.0,52.0,32.0,0.07697081565856934,,,,
moment_small_frozen_curves,0,2,195.0,43.0,32.0,0.07788586616516113,,,,
moment_small_frozen_curves_scalars,0,2,195.0,43.0,32.0,0.0808861255645752,,,,
moment_small_frozen_curves,0,3,195.0,43.0,32.0,0.07568955421447754,,,,
moment_small_frozen_curves_scalars,0,3,195.0,43.0,32.0,0.07871270179748535,,,,
moment_small_frozen_curves,0,4,188.0,50.0,32.0,0.07611703872680664,,,,
moment_small_frozen_curves_scalars,0,4,188.0,50.0,32.0,0.0791466236114502,,,,
moment_small_frozen_curves,1,0,189.0,49.0,32.0,0.07514119148254395,,,,
moment_small_frozen_curves_scalars,1,0,189.0,49.0,32.0,0.0782620906829834,,,,
moment_small_frozen_curves,1,1,188.0,50.0,32.0,0.07703733444213867,,,,
moment_small_frozen_curves_scalars,1,1,188.0,50.0,32.0,0.08004140853881836,,,,
moment_small_frozen_curves,1,2,194.0,44.0,32.0,0.0768442153930664,,,,
moment_small_frozen_curves_scalars,1,2,194.0,44.0,32.0,0.07984280586242676,,,,
moment_small_frozen_curves,1,3,192.0,46.0,32.0,0.0760958194732666,,,,
moment_small_frozen_curves_scalars,1,3,192.0,46.0,32.0,0.0780940055847168,,,,
moment_small_frozen_curves,1,4,189.0,49.0,32.0,0.07779860496520996,,,,
moment_small_frozen_curves_scalars,1,4,189.0,49.0,32.0,0.08079743385314941,,,,
moment_small_frozen_curves,2,0,187.0,51.0,32.0,0.07565164566040039,,,,
moment_small_frozen_curves_scalars,2,0,187.0,51.0,32.0,0.07865166664123535,,,,
moment_small_frozen_curves,2,1,195.0,43.0,32.0,0.0772237777709961,,,,
moment_small_frozen_curves_scalars,2,1,195.0,43.0,32.0,0.08024883270263672,,,,
moment_small_frozen_curves,2,2,189.0,49.0,32.0,0.07612156867980957,,,,
moment_small_frozen_curves_scalars,2,2,189.0,49.0,32.0,0.07921671867370605,,,,
moment_small_frozen_curves,2,3,187.0,51.0,32.0,0.0744485855102539,,,,
moment_small_frozen_curves_scalars,2,3,187.0,51.0,32.0,0.07644820213317871,,,,
moment_small_frozen_curves,2,4,194.0,44.0,32.0,0.07600140571594238,,,,
moment_small_frozen_curves_scalars,2,4,194.0,44.0,32.0,0.07800030708312988,,,,
mantis_v2_adapter_curves,0,0,,,,3.0593743324279785,16.0,1.6276506185531616,17241.0,
mantis_v2_adapter_curves_scalars,0,0,,,,3.3145384788513184,23.0,1.4862662553787231,25513.0,
mantis_v2_adapter_curves,0,1,,,,3.0525622367858887,24.0,0.9233542084693909,17241.0,
mantis_v2_adapter_curves_scalars,0,1,,,,2.9099485874176025,18.0,0.9096539616584778,25513.0,
mantis_v2_adapter_curves,0,2,,,,3.0042216777801514,23.0,1.3573112487792969,17241.0,
mantis_v2_adapter_curves_scalars,0,2,,,,2.8315134048461914,17.0,1.3625726699829102,25513.0,
mantis_v2_adapter_curves,0,3,,,,2.799017906188965,20.0,1.1633228063583374,17241.0,
mantis_v2_adapter_curves_scalars,0,3,,,,3.459630012512207,24.0,1.1082687377929688,25513.0,
mantis_v2_adapter_curves,0,4,,,,1.625826120376587,1.0,1.3287575244903564,17241.0,
mantis_v2_adapter_curves_scalars,0,4,,,,1.9362242221832275,3.0,1.3449586629867554,25513.0,
mantis_v2_adapter_curves,1,0,,,,3.4013023376464844,30.0,0.9935882687568665,17241.0,
mantis_v2_adapter_curves_scalars,1,0,,,,3.356041193008423,25.0,1.0196465253829956,25513.0,
mantis_v2_adapter_curves,1,1,,,,3.157332420349121,27.0,1.2644188404083252,17241.0,
mantis_v2_adapter_curves_scalars,1,1,,,,2.3531668186187744,10.0,1.3655643463134766,25513.0,
mantis_v2_adapter_curves,1,2,,,,2.977207660675049,25.0,1.1599544286727905,17241.0,
mantis_v2_adapter_curves_scalars,1,2,,,,2.0161306858062744,12.0,1.2438393831253052,25513.0,
mantis_v2_adapter_curves,1,3,,,,2.327491283416748,29.0,1.2205309867858887,17241.0,
mantis_v2_adapter_curves_scalars,1,3,,,,2.183452844619751,16.0,1.2223907709121704,25513.0,
mantis_v2_adapter_curves,1,4,,,,1.5883145332336426,8.0,1.037073016166687,17241.0,
