model,repeat,fold,channel_index,channel,weight
mantis_v2_adapter_curves,1,1,2,current_mid,0.161871075630188
mantis_v2_adapter_curves,1,1,3,current_endo_minus_mid,0.15834274888038635
mantis_v2_adapter_curves,1,1,4,change_endo,0.17743761837482452
mantis_v2_adapter_curves,1,1,5,change_mid,0.17716792225837708
mantis_v2_adapter_curves,1,1,6,change_endo_minus_mid,0.1584913432598114
mantis_v2_adapter_curves_scalars,1,1,1,current_endo,0.1687721610069275
mantis_v2_adapter_curves_scalars,1,1,2,current_mid,0.16835765540599823
mantis_v2_adapter_curves_scalars,1,1,3,current_endo_minus_mid,0.1641491800546646
mantis_v2_adapter_curves_scalars,1,1,4,change_endo,0.16695673763751984
mantis_v2_adapter_curves_scalars,1,1,5,change_mid,0.16647380590438843
mantis_v2_adapter_curves_scalars,1,1,6,change_endo_minus_mid,0.1652904599905014
mantis_v2_adapter_curves,1,2,1,current_endo,0.16638995707035065
mantis_v2_adapter_curves,1,2,2,current_mid,0.1636435091495514
mantis_v2_adapter_curves,1,2,3,current_endo_minus_mid,0.15891943871974945
mantis_v2_adapter_curves,1,2,4,change_endo,0.17456063628196716
mantis_v2_adapter_curves,1,2,5,change_mid,0.16846324503421783
mantis_v2_adapter_curves,1,2,6,change_endo_minus_mid,0.1680232435464859
mantis_v2_adapter_curves_scalars,1,2,1,current_endo,0.16652345657348633
mantis_v2_adapter_curves_scalars,1,2,2,current_mid,0.16598233580589294
mantis_v2_adapter_curves_scalars,1,2,3,current_endo_minus_mid,0.16141517460346222
mantis_v2_adapter_curves_scalars,1,2,4,change_endo,0.17046187818050385
mantis_v2_adapter_curves_scalars,1,2,5,change_mid,0.1696309894323349
mantis_v2_adapter_curves_scalars,1,2,6,change_endo_minus_mid,0.16598613560199738
mantis_v2_adapter_curves,1,3,1,current_endo,0.17532141506671906
mantis_v2_adapter_curves,1,3,2,current_mid,0.17339099943637848
mantis_v2_adapter_curves,1,3,3,current_endo_minus_mid,0.15443271398544312
mantis_v2_adapter_curves,1,3,4,change_endo,0.17276962101459503
mantis_v2_adapter_curves,1,3,5,change_mid,0.17281775176525116
mantis_v2_adapter_curves,1,3,6,change_endo_minus_mid,0.15126752853393555
mantis_v2_adapter_curves_scalars,1,3,1,current_endo,0.17062480747699738
mantis_v2_adapter_curves_scalars,1,3,2,current_mid,0.17064319550991058
mantis_v2_adapter_curves_scalars,1,3,3,current_endo_minus_mid,0.1581524908542633
mantis_v2_adapter_curves_scalars,1,3,4,change_endo,0.17062585055828094
mantis_v2_adapter_curves_scalars,1,3,5,change_mid,0.17127060890197754
mantis_v2_adapter_curves_scalars,1,3,6,change_endo_minus_mid,0.15868300199508667
