hospital,view,layer,metric,patients_tested,positive_slopes,negative_slopes,zero_slopes,fraction_positive,binomial_p_positive_gt_half,median_slope_per_visit,mean_slope_per_visit
SZMC,2-chamber,endo,time_to_peak_ms_std,10,4,6,0,0.4,0.828125,-42.06490908954693,-80.82888879070416
SZMC,2-chamber,endo,time_to_peak_norm_std,10,2,8,0,0.2,0.9892578125,-0.011309295710500659,-0.01705934721518512
SZMC,2-chamber,myo,contraction_rate_per_s_std,10,7,3,0,0.7,0.171875,2.626092932598293,3.2260076369133026
SZMC,2-chamber,myo,curve_roughness_std,10,4,6,0,0.4,0.828125,-0.010604756553822401,-0.0023086810641106724
SZMC,2-chamber,myo,peak_abs_iqr,10,4,6,0,0.4,0.828125,-0.5239375000000014,-0.44850000000000045
SZMC,2-chamber,myo,peak_abs_std,10,6,4,0,0.6,0.376953125,0.4425571302206865,0.4137492966661158
SZMC,2-chamber,myo,recovery_fraction_std,10,6,4,0,0.6,0.376953125,8.446236221335254e-09,-0.038225354191093505
SZMC,2-chamber,myo,rms_strain_std,10,7,3,0,0.7,0.171875,0.2548783789350747,0.2333611336288477
SZMC,2-chamber,myo,strain_burden_std,10,7,3,0,0.7,0.171875,0.26139018522826185,0.19213595701993644
SZMC,2-chamber,myo,time_to_peak_ms_std,10,5,5,0,0.5,0.623046875,-11.229403563918364,-14.99049396970608
SZMC,2-chamber,myo,time_to_peak_norm_std,10,4,6,0,0.4,0.828125,-0.009801929097099284,0.009174974161824268
SZMC,4-chamber,endo,contraction_rate_per_s_std,12,9,3,0,0.75,0.072998046875,6.606389417456379,6.669446446571875
SZMC,4-chamber,endo,curve_roughness_std,12,8,4,0,0.6666666666666666,0.19384765625,0.023340626892602384,0.03955797842554876
SZMC,4-chamber,endo,peak_abs_iqr,12,9,3,0,0.75,0.072998046875,0.7591249999999977,0.6426562500000004
SZMC,4-chamber,endo,peak_abs_std,12,7,5,0,0.5833333333333334,0.38720703125,0.5665850404052717,0.6781953698140916
