outcome,predictor,n_patients,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,permutation_p,fdr_q
post_early_gls_worsening_pp,early_change_endo_peak_abs_robust_sd,101,0.0010221554375174728,-0.2165920636491371,0.21983566827793058,0.991001799640072,0.991001799640072
post_early_gls_worsening_pp,early_change_endo_vendor_peak_systolic_abs_robust_sd,101,0.043203890564994143,-0.17666216507183724,0.2667396071841956,0.6620675864827035,0.8512297540491902
post_early_gls_worsening_pp,early_change_endo_peak_abs_std,101,0.14384558935849903,-0.06237799192719517,0.3343608854497665,0.15356928614277143,0.3189515942965253
post_early_gls_worsening_pp,early_change_endo_peak_abs_cv,101,-0.044514205177221156,-0.24979640743445122,0.15797703861789,0.6486702659468107,0.8512297540491902
post_early_gls_worsening_pp,early_change_endo_time_to_peak_ms_std,101,-0.2020466167477403,-0.37593132662020945,-0.020190704059692376,0.042191561687662464,0.12741451709658067
post_early_gls_worsening_pp,early_change_endo_time_to_peak_norm_std,101,-0.23898356418120048,-0.411012459006626,-0.05829481167896525,0.01839632073585283,0.1241751649670066
post_early_gls_worsening_pp,early_change_endo_time_to_peak_norm_circular_std,101,-0.22192454194332523,-0.3981004862257799,-0.040302377070989444,0.026194761047790442,0.12741451709658067
post_early_gls_worsening_pp,early_change_endo_vendor_time_to_peak_norm_circular_std,101,-0.19695628372080173,-0.38157320943929984,0.004423639108612425,0.04579084183163367,0.12741451709658067
post_early_gls_worsening_pp,early_change_endo_time_to_peak_es_ratio_std,101,-0.26992743073969533,-0.4427955175606608,-0.07199628581004903,0.007398520295940812,0.09988002399520096
post_early_gls_worsening_pp,early_change_endo_post_systolic_index_std,101,-0.20026441777034532,-0.39604212182001713,0.002217163343540718,0.047190561887622474,0.12741451709658067
post_early_gls_worsening_pp,early_change_endo_post_systolic_fraction,101,-0.058128493094852685,-0.2530036874995441,0.13220246233852886,0.5616876624675065,0.8425314937012597
post_early_gls_worsening_pp,early_change_endo_curve_dispersion_rms,101,0.007705389696384087,-0.1962323030252301,0.20757619132674973,0.9342131573685263,0.9701444326519311
post_early_gls_worsening_pp,early_change_endo_curve_integrated_robust_mad,101,-0.03327936260403528,-0.22226867898434868,0.15605997689829712,0.7426514697060588,0.8718082470462428
post_early_gls_worsening_pp,early_change_endo_shape_dispersion_rms,101,-0.2392980698830937,-0.4123760388006491,-0.06523109831736972,0.017196560687862426,0.1241751649670066
post_early_gls_worsening_pp,early_change_endo_shape_incoherence,101,-0.1731004438142339,-0.3575680484677107,0.017393657726920995,0.07778444311137772,0.19092545127338167
post_early_gls_worsening_pp,early_change_endo_latent_pairwise_mean,101,-0.036797167121507685,-0.22066161041190727,0.15337287145535594,0.7154569086182764,0.8718082470462428
post_early_gls_worsening_pp,early_change_endo_apical_basal_peak_gradient,101,0.1522615289739752,-0.04198852124354473,0.35644015666105594,0.1241751649670066,0.27939412117576484
post_early_gls_worsening_pp,early_change_endo_impaired_segment_fraction_lt15,101,-0.29659252491362986,-0.46509703873215513,-0.1139604403420792,0.002599480103979204,0.07018596280743851
post_early_gls_worsening_pp,early_change_endo_within_view_peak_robust_sd_mean,101,0.12350172978973892,-0.07924685251938589,0.3068491781650486,0.21275744851029793,0.39232153569286143
post_early_gls_worsening_pp,early_change_endo_within_ring_peak_robust_sd_mean,101,0.04449673263822708,-0.15993475110646843,0.2573428987105245,0.6538692261547691,0.8512297540491902
post_early_gls_worsening_pp,early_change_endo_spatial_peak_graph_roughness,101,0.1150974385335921,-0.09813629655562946,0.3032497184151425,0.2563487302539492,0.4325884823035393
post_early_gls_worsening_pp,early_change_endo_spatial_timing_graph_roughness,101,-0.12204568487356657,-0.30981430500411716,0.07034812928495839,0.21795640871825636,0.39232153569286143
post_early_gls_worsening_pp,early_change_mid_peak_abs_robust_sd,101,-0.026302071958953024,-0.22119852013143815,0.17978898369539398,0.7946410717856429,0.8939712057588483
post_early_gls_worsening_pp,early_change_mid_time_to_peak_norm_circular_std,101,-0.21881443000238104,-0.38667544369517476,-0.02942719854018588,0.03059388122375525,0.12741451709658067
post_early_gls_worsening_pp,endo_early_peak_pattern_correlation,101,0.2016272758118826,-0.0008581462712743592,0.3825175829525779,0.04259148170365927,0.12741451709658067
post_early_gls_worsening_pp,endo_early_timing_pattern_correlation,101,0.017658912743338286,-0.18288438925527806,0.21627477424503952,0.8542291541691661,0.9225674865026994
post_early_gls_worsening_pp,endo_early_worst_quartile_jaccard,101,0.09835255495041276,-0.08901505409339193,0.2954092093168483,0.32313537292541494,0.513215004058012
post_early_ef_worsening_pp,early_change_endo_peak_abs_robust_sd,92,0.1401775531130398,-0.06334845769792201,0.3319338869114719,0.1867626474705059,0.387891652438743
post_early_ef_worsening_pp,early_change_endo_vendor_peak_systolic_abs_robust_sd,92,0.09446270387808002,-0.0975464934379167,0.29104068231648755,0.36892621475704857,0.6225629874025195
post_early_ef_worsening_pp,early_change_endo_peak_abs_std,92,0.05267943837368802,-0.1473332879016988,0.24433562609500595,0.6230753849230154,0.7314363214313658
post_early_ef_worsening_pp,early_change_endo_peak_abs_cv,92,-0.07807900374520291,-0.26819897384621266,0.1217369600417929,0.4559088182363527,0.6674770309096075
post_early_ef_worsening_pp,early_change_endo_time_to_peak_ms_std,92,-0.3243376539309218,-0.5086268091951873,-0.1346431300327345,0.0015996800639872025,0.01835632873425315
post_early_ef_worsening_pp,early_change_endo_time_to_peak_norm_std,92,-0.2920179399842794,-0.461213055935828,-0.10004631845571522,0.005598880223955209,0.02519496100779844
post_early_ef_worsening_pp,early_change_endo_time_to_peak_norm_circular_std,92,-0.3074919470431392,-0.47100752586269606,-0.1310872132293161,0.0033993201359728054,0.01835632873425315
post_early_ef_worsening_pp,early_change_endo_vendor_time_to_peak_norm_circular_std,92,-0.29896891327466363,-0.4760565928731106,-0.10329959746699369,0.0033993201359728054,0.01835632873425315
post_early_ef_worsening_pp,early_change_endo_time_to_peak_es_ratio_std,92,-0.24468658970762758,-0.4216155509420939,-0.04626434611040756,0.019396120775844832,0.0581883623275345
post_early_ef_worsening_pp,early_change_endo_post_systolic_index_std,92,-0.04064238706594948,-0.24299545493559987,0.17179588951845182,0.7038592281543691,0.7601679664067186
post_early_ef_worsening_pp,early_change_endo_post_systolic_fraction,92,-0.05727769875501265,-0.2811235684599107,0.1596805982861027,0.5742851429714058,0.7048044936467253
post_early_ef_worsening_pp,early_change_endo_curve_dispersion_rms,92,-0.10207604457253824,-0.2964095763376616,0.09746925730332948,0.34233153369326136,0.6161967606478704
post_early_ef_worsening_pp,early_change_endo_curve_integrated_robust_mad,92,-0.06126412157267697,-0.24577810960269125,0.14453987209452554,0.5646870625874825,0.7048044936467253
post_early_ef_worsening_pp,early_change_endo_shape_dispersion_rms,92,-0.2669574464805881,-0.4354773155840961,-0.09206008467712905,0.010597880423915218,0.03576784643071386
post_early_ef_worsening_pp,early_change_endo_shape_incoherence,92,-0.3584760260777091,-0.529508260657984,-0.16989221316428677,0.0009998000399920016,0.01835632873425315
post_early_ef_worsening_pp,early_change_endo_latent_pairwise_mean,92,-0.13980549604673026,-0.3252979866458192,0.04933097928148572,0.1865626874625075,0.387891652438743
post_early_ef_worsening_pp,early_change_endo_apical_basal_peak_gradient,92,0.0754280782331273,-0.1413889353592939,0.27680682583145944,0.46970605878824234,0.6674770309096075
post_early_ef_worsening_pp,early_change_endo_impaired_segment_fraction_lt15,92,-0.19483123113179512,-0.38353870547736896,0.008076697463730258,0.0651869626074785,0.17600479904019195
post_early_ef_worsening_pp,early_change_endo_within_view_peak_robust_sd_mean,92,0.14896043647796803,-0.01755960441314296,0.3202809279993279,0.16476704659068186,0.387891652438743
post_early_ef_worsening_pp,early_change_endo_within_ring_peak_robust_sd_mean,92,0.13179107007999014,-0.08253226917257385,0.33189439994277076,0.21415716856628675,0.41301739652069586
post_early_ef_worsening_pp,early_change_endo_spatial_peak_graph_roughness,92,0.02017477613550545,-0.18279385970756387,0.21785273217589599,0.8470305938812237,0.8796086936458861
post_early_ef_worsening_pp,early_change_endo_spatial_timing_graph_roughness,92,-0.3185426074626636,-0.4939090592553943,-0.1379439824680462,0.0023995200959808036,0.01835632873425315
post_early_ef_worsening_pp,early_change_mid_peak_abs_robust_sd,92,0.015173524550166385,-0.1714787708916159,0.2029697353491447,0.889622075584883,0.889622075584883
post_early_ef_worsening_pp,early_change_mid_time_to_peak_norm_circular_std,92,-0.27834717876793613,-0.4666057674568531,-0.07781478622326059,0.008998200359928014,0.034707344245436623
post_early_ef_worsening_pp,endo_early_peak_pattern_correlation,92,0.06815344543254781,-0.1269700520619677,0.2534560492685517,0.5136972605478904,0.6934913017396521
post_early_ef_worsening_pp,endo_early_timing_pattern_correlation,92,0.04172125209993372,-0.1587933449013537,0.24071387797085822,0.6872625474905019,0.7601679664067186
post_early_ef_worsening_pp,endo_early_worst_quartile_jaccard,92,0.07779537484375182,-0.11678948014560217,0.26964047624698,0.46190761847630474,0.6674770309096075
