endpoint,baseline_endpoint_control,feature,n_patients,standardized_beta_feature,bootstrap_ci_low,bootstrap_ci_high,permutation_p,loocv_base_rmse,loocv_extended_rmse,loocv_delta_rmse_extended_minus_base,loocv_base_mae,loocv_extended_mae,loocv_delta_mae_extended_minus_base,loocv_extended_prediction_spearman,fdr_q,primary_holm_p
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_peak_abs_robust_sd,103,0.027301748513999635,-0.14422543903076432,0.19286702351299997,0.7368526294741051,2.598931468688067,2.6234194060427676,0.024487937354700673,2.1470280614774766,2.16791020769413,0.020882146216653297,0.4048994519799176,0.8717560835658955,1.0
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_vendor_peak_systolic_abs_robust_sd,103,0.0603318720775288,-0.10726501464896451,0.2125405272521311,0.47890421915616876,2.598931468688067,2.6144471298388,0.015515661150732996,2.1470280614774766,2.160358953323295,0.013330891845818371,0.401895640928787,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_peak_abs_std,103,0.0577933385892892,-0.11013224791963515,0.2033470347712416,0.4973005398920216,2.598931468688067,2.6136505696313668,0.014719100943299868,2.1470280614774766,2.1662680377100996,0.01923997623262297,0.40361445785566796,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_peak_abs_cv,103,0.058561270555569034,-0.14400343084750278,0.23063477565530555,0.5316936612677464,2.598931468688067,2.615857620704328,0.01692615201626113,2.1470280614774766,2.169548120355418,0.022520058877941285,0.40100053818411735,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_time_to_peak_ms_std,103,0.05568049428766881,-0.12438041816859388,0.22136016222489008,0.53249350129974,2.598931468688067,2.6155135397582296,0.01658207107016274,2.1470280614774766,2.168120181267585,0.021092119790108388,0.41274121099456945,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_time_to_peak_norm_std,103,-0.03661518481827987,-0.2227659168642571,0.14174070143906936,0.6732653469306139,2.598931468688067,2.627134824178086,0.028203355490019177,2.1470280614774766,2.168795073317765,0.021767011840288397,0.3942625561736287,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_time_to_peak_norm_circular_std,103,-0.03556553954688302,-0.2049585875719481,0.1444051384159017,0.7002599480103979,2.598931468688067,2.6259765917363005,0.027045123048233588,2.1470280614774766,2.1682363810222767,0.02120831954480007,0.3936694819624366,0.8717560835658955,1.0
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_vendor_time_to_peak_norm_circular_std,103,-0.03530225037471768,-0.21856225853080788,0.1417668814852778,0.6894621075784843,2.598931468688067,2.6255591169279224,0.026627648239855528,2.1470280614774766,2.167624634329143,0.020596572851666384,0.39387266479404864,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_time_to_peak_es_ratio_std,103,-0.0013573175262217019,-0.17450605790741028,0.17937547543072418,0.9866026794641072,2.598931468688067,2.6298324597463223,0.03090099105825539,2.1470280614774766,2.1715244296178913,0.02449636814041467,0.395448704596013,0.9866026794641072,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_post_systolic_index_std,103,-0.02483281054637137,-0.18666081759283115,0.16640719685534391,0.7714457108578284,2.598931468688067,2.6270317584150895,0.02810028972702261,2.1470280614774766,2.168100954431581,0.021072892954104194,0.3931038648906514,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_post_systolic_fraction,103,-0.023879773241430313,-0.2019113212177906,0.1369265370784827,0.7788442311537692,2.598931468688067,2.6275502751729682,0.028618806484901338,2.1470280614774766,2.17058583267013,0.023557771192653565,0.3948885789521093,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_curve_dispersion_rms,103,0.041174134607889046,-0.13440597428637102,0.1911971002782995,0.6294741051789642,2.598931468688067,2.619929957448208,0.020998488760140877,2.1470280614774766,2.1632468022156757,0.016218740738199067,0.4050037891096644,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_curve_integrated_robust_mad,103,0.05116558707626023,-0.10680915001956941,0.19579785858891785,0.5292941411717657,2.598931468688067,2.6122942940588856,0.013362825370818676,2.1470280614774766,2.1519209799967376,0.004892918519260991,0.4095012685445383,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_shape_dispersion_rms,103,0.06518155748252732,-0.10175218615100573,0.2245170525012596,0.46950609878024396,2.598931468688067,2.6133889112779203,0.014457442589853375,2.1470280614774766,2.1446098071014776,-0.0024182543759989628,0.4196054958463305,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_shape_incoherence,103,0.08552207252854571,-0.10288600425450602,0.2665477817977683,0.3197360527894421,2.598931468688067,2.6163088352434727,0.017377366555405782,2.1470280614774766,2.151350132611337,0.004322071133860295,0.4264642892702101,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_latent_pairwise_mean,103,0.017051946836000975,-0.16004074611517485,0.18006579784868168,0.8354329134173165,2.598931468688067,2.6252743399358156,0.0263428712477487,2.1470280614774766,2.166528288926313,0.019500227448836505,0.40230200659201126,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_apical_basal_peak_gradient,103,-0.035210195677414714,-0.22254769219131795,0.1829577434123563,0.7088582283543291,2.598931468688067,2.630208725597359,0.031277256909292284,2.1470280614774766,2.1761078900301873,0.02907982855271074,0.3955091103027085,0.8717560835658955,
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_impaired_segment_fraction_lt15,103,0.1480912466291779,-0.12707499417108742,0.4276959611120737,0.32313537292541494,2.598931468688067,2.608719680379334,0.00978821169126709,2.1470280614774766,2.1669187790385758,0.01989071756109917,0.3942790304572729,0.8717560835658955,
