variant,segment,segment_name,mean_weight,mean_weight_ci_low,mean_weight_ci_high,event_mean_weight,nonevent_mean_weight,event_minus_nonevent,difference_ci_low,difference_ci_high
attention_binary,1,basal anterior,0.05473766613657735,0.05411842779800628,0.055334344430546065,0.05468476099931464,0.05475138228327508,-6.662128396044131e-05,-0.0010746792469893338,0.0008520061822208948
attention_binary,2,basal anteroseptal,0.05177387189777458,0.05123194821266129,0.05229951044655419,0.05191791972436872,0.051736526164953875,0.00018139355941484275,-0.0007985414560448394,0.0011912749331459637
attention_binary,3,basal inferoseptal,0.05258110843087529,0.05168417056546798,0.05348421192352486,0.05286877049880774,0.05250652937622613,0.0003622411225816108,-0.0009326464402218866,0.0016635102098838661
attention_binary,4,basal inferior,0.05181505899949401,0.051285696508444466,0.05233749213815317,0.052487441192881595,0.051640737690097235,0.00084670350278436,-0.0003656914493367684,0.0021467214099621158
attention_binary,5,basal inferolateral,0.05644314282205926,0.05566297317242043,0.057201433212266825,0.056715494110470735,0.0563725332287674,0.00034296088170333167,-0.0010491521061877628,0.0019412105614715588
attention_binary,6,basal anterolateral,0.05289790014989403,0.05220877433281653,0.05352200503508905,0.0528673294196729,0.052905825894766174,-3.8496475093276195e-05,-0.001056915720258137,0.0010634102939328443
attention_binary,7,mid anterior,0.05264970316898589,0.052134283975465226,0.05313942709789938,0.05311054095220404,0.052530226706670076,0.0005803142455339666,-0.00020978882086287177,0.0013827561509653886
attention_binary,8,mid anteroseptal,0.058981851489395325,0.05809441492588231,0.0598305324962615,0.0583200275036348,0.05915343548570361,-0.0008334079820688095,-0.002254466341479899,0.000572226012470671
attention_binary,9,mid inferoseptal,0.06009175561639775,0.05940977105721196,0.06075414856166786,0.05979201542276915,0.06016946603696813,-0.0003774506141989778,-0.001333392378642293,0.0007325457017020852
attention_binary,10,mid inferior,0.05864914879724592,0.05785006520214256,0.059403271963093036,0.05852356025961792,0.05868170878848282,-0.0001581485288649001,-0.0015087576861676747,0.0011872130130480875
attention_binary,11,mid inferolateral,0.0521760523992301,0.051538664513013685,0.05278969111736523,0.05231806136617045,0.052139235259652986,0.0001788261065174615,-0.0008901916353563916,0.0012612339544908248
attention_binary,12,mid anterolateral,0.05503507245446787,0.054331810733762025,0.05576247803217816,0.054908359511977145,0.05506792395807659,-0.00015956444609944304,-0.0012835082997453458,0.0010933361173275956
attention_binary,13,apical anterior,0.05892785446045278,0.05816104635322357,0.05968616389643608,0.05851465940069991,0.0590349791055739,-0.0005203197048739908,-0.0017138166643146844,0.0007899897230525374
attention_binary,14,apical anteroseptal,0.05315666991685118,0.0527138902235681,0.05366610311826821,0.053125596294800445,0.05316472604108655,-3.912974628610816e-05,-0.0009991087605481657,0.0009506813577068321
attention_binary,15,apical inferoseptal,0.05738801807582545,0.056449215410277725,0.058414703581592065,0.05758741660182979,0.057336322161676175,0.00025109444015361526,-0.001331308397720268,0.0019360202375660466
attention_binary,16,apical inferior,0.05951091082615346,0.05844046439827378,0.06067109178021192,0.05915009382427955,0.059604455974787425,-0.0004543621505078768,-0.0020664192149072095,0.0015626120168834262
attention_binary,17,apical inferolateral,0.05317240589264394,0.05275231526721091,0.05359147607421328,0.05306147930978918,0.053201164636347026,-0.00013968532655784377,-0.0008248854827251969,0.0005831674908675747
attention_binary,18,apical anterolateral,0.06001180809001629,0.059301199855047726,0.0606139430423184,0.060046469729368376,0.060002821739073155,4.364799029522165e-05,-0.0010415461814919243,0.0011782759682781698
attention_gls_aux,1,basal anterior,0.05216780450737694,0.051387652670301834,0.05293865186372229,0.05204230711675014,0.052200340867909804,-0.00015803375115966412,-0.0015387540112815306,0.000993249702162487
attention_gls_aux,2,basal anteroseptal,0.050482229854003725,0.049849206494118975,0.05108098651628326,0.050577832018437026,0.05045744410766916,0.00012038791076786348,-0.0010045680380301508,0.0011388771382215667
attention_gls_aux,3,basal inferoseptal,0.051070700149137935,0.05027477148615739,0.051766299858704706,0.05106948041135357,0.0510710163774524,-1.535966098829833e-06,-0.0012981961574500104,0.0013330373915212148
