task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel10,clinical_ridge,211,65,0.3080568720379147,0.6903055848261328,0.48178449341003127,0.22287818792081854,0.36923076923076925,0.5581395348837209,0.593220584142682,0.7693090427862179,0.3652363613454959,0.6313967359543476,0.1993693260043624,0.24976433205166715
mid_first_rel12,clinical_ridge,225,58,0.2577777777777778,0.6348337807144331,0.34635949717612996,0.23685724819784412,0.3275862068965517,0.4222222222222222,0.5432631005010314,0.7188279347729494,0.2518165152349656,0.4900692201957,0.21176950137737183,0.2615621461936957
mid_first_rel15,clinical_ridge,238,49,0.20588235294117646,0.6309253860274269,0.28946554159244087,0.23562046919296983,0.32653061224489793,0.3333333333333333,0.5440591745025936,0.7268799827623357,0.21413122857676709,0.4346434384915401,0.21016446517196674,0.26076531582716456
mid_first_rel20,clinical_ridge,262,29,0.11068702290076336,0.7120023679147551,0.2877297563412389,0.20296346673040494,0.41379310344827586,0.22641509433962265,0.6166520868846531,0.8096993652569842,0.1749185090549617,0.46546955866493805,0.18137992269998995,0.22320310251870068
mid_roll2_rel10,clinical_ridge,194,51,0.26288659793814434,0.667900726724256,0.40388608955591,0.2237136459430688,0.3333333333333333,0.4358974358974359,0.5837880869130868,0.747925987909423,0.3155384797234999,0.5437485660815181,0.20473995946961487,0.24241482651641244
mid_roll2_rel12,clinical_ridge,194,42,0.21649484536082475,0.6011904761904763,0.2698710746347459,0.23288525628649412,0.21428571428571427,0.23076923076923078,0.5070596017466534,0.6871438617124471,0.19087781253392666,0.3918061191783019,0.2142744568259762,0.25252399838534967
mid_roll2_rel15,clinical_ridge,194,29,0.14948453608247422,0.5801462904911181,0.21207481912083048,0.23369508503324662,0.2413793103448276,0.1794871794871795,0.45507795086292385,0.6824142156862745,0.13022885232512524,0.3605728126313026,0.21826913117945076,0.25114025167545967
mid_roll2_rel20,clinical_ridge,194,13,0.06701030927835051,0.5826604334891629,0.1273004596076186,0.1994861006984473,0.23076923076923078,0.07692307692307693,0.4323705110497238,0.7500233918931642,0.0516753609242625,0.33031406309373734,0.18272827070912726,0.21604304555967843
mid_roll3_rel10,clinical_ridge,93,19,0.20430107526881722,0.6081081081081081,0.27380092996212335,0.23230757862357465,0.2631578947368421,0.2631578947368421,0.4626795741023682,0.7368978534230327,0.1606169154581064,0.4752468663498934,0.20859871456149542,0.25809628514766
mid_roll3_rel12,clinical_ridge,93,14,0.15053763440860216,0.6654611211573237,0.3207715871479832,0.21864284733194078,0.42857142857142855,0.3157894736842105,0.47360294117647056,0.8308996212121211,0.16027991576762218,0.6378738186324612,0.18997474492679634,0.2524945825181036
