error_status,n,events,median__followup_days,median__first_mid_gls,median__current_mid_gls,median__current_mid_decline_from_first,median__last_mid_relative_change,median__current_endo_mid_gap,median__mid_variability,median__curve_rejected_fraction,median__target_relative_decline,median__absolute_label_margin
FN,36,36,105.3179398148148,17.895,17.32,0.0,0.0,3.119999999999999,5.077905000000001,0.0,0.1950950144927861,0.045095014492786106
FP,35,0,93.13299768518519,17.81,17.54,0.0,0.0,3.160000000000002,5.0556659999999995,0.0,0.021058315334773203,0.1289416846652268
TN,154,0,92.50179976851851,16.5,16.845,0.0,0.0,3.134999999999999,6.056421000000001,0.0,-0.025804524815146168,0.17580452481514616
TP,13,13,97.95920138888889,18.58,17.97,0.0,0.0,3.3900000000000006,5.181686999999998,0.0,0.20815677966101698,0.05815677966101698
