variant,n,mae,rmse,r2,pearson_r,spearman_r,mae_ci_low,mae_ci_high,pearson_r_ci_low,pearson_r_ci_high,spearman_r_ci_low,spearman_r_ci_high
attention_gls_aux,297,0.10616816258611676,0.1328288349952426,0.1415876662619242,0.38686771894753225,0.35890970286943447,0.09536506048341782,0.11716758900746961,0.31297658772268816,0.4616139379117137,0.2754208957451554,0.44328471515701323
uniform_gls_aux,297,0.10479367133819233,0.1310713793858851,0.16415266580422117,0.40749121070019606,0.374819755692239,0.09475427246644236,0.11557470825751164,0.3215853962032749,0.48869841266376635,0.28793559890482556,0.4563970963805696
