target_layer,model,subset,mae_ci_low,mae_ci_high,average_precision_ci_low,average_precision_ci_high,brier_ci_low,brier_ci_high
mid,Persistence,selected_first_event_180d,1.6643538732394367,2.2531285211267607,0.16754862350506838,0.5266517169628399,0.11098572706406422,0.2227737213148933
mid,Clinical ridge,selected_first_event_180d,1.6025857091024613,2.201334273605919,0.1991978755988901,0.6759187700200996,0.10018621170332137,0.22766045707655932
mid,Engineered ridge,selected_first_event_180d,1.6151618776208703,2.222693281476746,0.2438680489500103,0.721095045625244,0.10024306445722483,0.22322346563964246
mid,Endo–Mid curve CNN,selected_first_event_180d,1.5589763352971677,2.302293605925332,0.17037950268053628,0.5645436381688931,0.10731844093939193,0.22662991420264025
endo,Persistence,selected_first_event_180d,1.889843333333333,2.548563333333333,0.27793205796169806,0.7138904590279723,0.10921975004590599,0.214488342761281
endo,Clinical ridge,selected_first_event_180d,1.7410705900711727,2.400055975661042,0.24997232499089297,0.6733733414725378,0.10690555985375973,0.22654481612859015
endo,Engineered ridge,selected_first_event_180d,1.778369874021308,2.4562953607187015,0.24797694940873785,0.6624579279056666,0.10896070111812037,0.23118050097637569
endo,Endo–Mid curve CNN,selected_first_event_180d,1.7433841560618082,2.5453359761810295,0.22668835308574725,0.6303554938444247,0.11300099046239287,0.2265709314296289
