model,item_type,item,base_auc,base_ap,auc_drop_mean,auc_drop_across_permutations_mean,auc_drop_permutation_low,auc_drop_permutation_high,ap_drop_mean,ap_drop_across_permutations_mean,ap_drop_permutation_low,ap_drop_permutation_high,auc_drop_boot_low,auc_drop_boot_high,ap_drop_boot_low,ap_drop_boot_high,feature,feature_family,description,used_fraction,auc_drop_screen,auc_drop_split_sd,auc_positive_split_fraction,ap_drop_screen,ap_drop_split_sd,ap_positive_split_fraction,native_importance_mean,selection_fraction,coefficient_median_when_selected,coefficient_sign_consistency,auc_rank_screen,ap_rank_screen,native_rank,rank_within_model
clinical_plus_transmural_sparse,feature,d_tm_sd_gap_dct04,0.6435590109059497,0.30856830190699036,0.0367130979375877,0.03817082388510959,0.01774646366483106,0.0563654033041788,0.042736160623276676,0.04857081277638634,0.02955248597092238,0.06539574434596161,0.0010823903931718145,0.06558661750751582,-0.019497872064832576,0.11029817908082949,d_tm_sd_gap_dct04,Endo–Mid,Change since previous visit: Endo–Mid sd gap DCT04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5868204192886316,1.0,0.635424245809759,1.0,1.0,1.0,1.0,1.0
clinical_plus_transmural_sparse,feature,cur_tm_segment_curve_correlation_std,0.6435590109059497,0.30856830190699036,0.01727675197062961,0.023314616852031816,0.006778425655976717,0.04596425871936075,0.023093334735603377,0.02277283360650836,0.007493769930344793,0.04699176710115996,-0.006650058592460676,0.03981458501248317,-0.007691448757348464,0.06695532853064153,cur_tm_segment_curve_correlation_std,Endo–Mid,Current visit: Endo–Mid segment curve correlation std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4484546316839424,1.0,-0.43612100809614157,1.0,1.0,1.0,2.0,2.0
clinical_plus_transmural_sparse,feature,first_mid_gls,0.6435590109059497,0.30856830190699036,0.01220170607925708,0.012579635028614616,-0.006308713961775128,0.024308929921174827,-0.002798786744892867,-0.005947333123493261,-0.03329629622059031,0.022286215476382366,-0.009387735935325743,0.037500949409196196,-0.04626639150023834,0.03688913424287847,first_mid_gls,clinical,Baseline Mid-GLS magnitude,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4262486115067722,0.7333333333333333,0.6410898421682563,1.0,1.0,1.0,3.0,3.0
clinical_plus_transmural_sparse,feature,d_tm_peak_gap_mean,0.6435590109059497,0.30856830190699036,0.008314436885865528,0.010240074865925208,-0.008659971925278065,0.025788251808660016,0.008446512553451913,0.013140549286937845,-0.004430276583247547,0.03201883444156501,-0.008465150536371452,0.030044954374664593,-0.01596987632955755,0.04268233275450943,d_tm_peak_gap_mean,Endo–Mid,Change since previous visit: Endo–Mid peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849490200024236,1.0,-0.42283275346226934,1.0,1.0,1.0,5.0,4.0
clinical_plus_transmural_sparse,feature,cur_tm_sd_gap_dct06,0.6435590109059497,0.30856830190699036,0.007774538386783325,0.005740920706907053,0.0003185401144583628,0.010295864377496985,0.015347552213422933,0.013029730886567134,0.0018638630280129105,0.025190161639880634,-0.006000763685239332,0.02076022533649641,-0.0006641896661475729,0.03371559779532872,cur_tm_sd_gap_dct06,Endo–Mid,Current visit: Endo–Mid sd gap DCT06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20681831479356644,0.8,-0.24746828488184835,1.0,1.0,1.0,7.0,5.0
clinical_plus_transmural_sparse,feature,cur_tm_mean_shape_gap_dct04,0.6435590109059497,0.30856830190699036,0.00712666018788477,0.0079725011697801,-0.0015603066623474438,0.027861462045135482,0.014925678386079833,0.011276610254186867,-0.014503373046606564,0.040338120083673386,-0.01173903048036989,0.029588952791121854,-0.017296378286012316,0.05669363463292243,cur_tm_mean_shape_gap_dct04,Endo–Mid,Current visit: Endo–Mid mean shape gap DCT04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944260573297616,0.9333333333333333,-0.41002982231432317,1.0,1.0,1.0,4.0,6.0
clinical_plus_transmural_sparse,feature,cur_tm_mean_gap_dct02,0.6435590109059497,0.30856830190699036,0.007018680488068307,0.0069017024799337785,-0.0028263686426951403,0.01451517114782422,0.013681136412996564,0.014203214731770067,0.004285730115098527,0.026484160071746154,-0.003616774800752928,0.018810162143245886,0.0010962353827831616,0.03272444655963202,cur_tm_mean_gap_dct02,Endo–Mid,Current visit: Endo–Mid mean gap DCT02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18039756829583925,0.7333333333333333,0.2612683400066614,1.0,1.0,1.0,8.0,7.0
clinical_plus_transmural_sparse,feature,first_endo_gls,0.6435590109059497,0.30856830190699036,0.006046863189720364,0.00565093762372675,-0.0006370802289169392,0.011399956808120025,0.01480681487212887,0.013250642467182544,0.002705185345348221,0.021259361633632373,-0.001068018760122366,0.013809195965997731,0.0043594501405617965,0.0351996089609435,first_endo_gls,clinical,Baseline Endo-GLS magnitude,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07175103746579553,0.13333333333333333,0.5381327809934665,1.0,1.0,1.0,17.0,8.0
clinical_plus_transmural_sparse,feature,current_mid_decline_from_first,0.6435590109059497,0.30856830190699036,0.0020516142965122386,0.0027894755785911884,-0.007804232804232878,0.010776374041680165,-0.006647301941790529,-0.004036312376458985,-0.012871557941534363,0.005209450456509141,-0.0056902363906157355,0.010463210434941535,-0.03192529866480299,0.010616455493322569,current_mid_decline_from_first,clinical,Current relative Mid-GLS decline from baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12869875056654256,0.5333333333333333,0.1629183878601631,1.0,1.0,1.0,11.0,9.0
clinical_plus_transmural_sparse,feature,mid_decline_slope_per_100d,0.6435590109059497,0.30856830190699036,0.0017276751970629611,0.000791851131987172,-0.006222330201922035,0.00980185725083682,-0.0003877769031959688,-0.0011333627950794272,-0.014161714545519056,0.014072862687074464,-0.013881161983693774,0.015303269168182072,-0.019081658065445282,0.016744522751003504,mid_decline_slope_per_100d,clinical,Mid-GLS decline slope per 100 days,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14908894223292732,0.6,0.25921236195855796,1.0,1.0,1.0,10.0,10.0
