model,item_type,item,base_auc,base_ap,auc_drop_mean,auc_drop_across_permutations_mean,auc_drop_permutation_low,auc_drop_permutation_high,ap_drop_mean,ap_drop_across_permutations_mean,ap_drop_permutation_low,ap_drop_permutation_high,auc_drop_boot_low,auc_drop_boot_high,ap_drop_boot_low,ap_drop_boot_high
clinical_ridge,family,clinical,0.6309253860274269,0.28946554159244087,0.10312061332469491,0.11737393370046433,0.050183565489687984,0.1811845373069863,0.049901280914915885,0.05728490866220496,-0.01767556527903539,0.10502072399548353,-0.01304293729450843,0.22951802806150634,-0.060907357726611086,0.20266869256076453
clinical_plus_transmural_sparse,family,clinical,0.6435590109059497,0.30856830190699036,0.004859086491739606,0.0036353165604866566,-0.027094806176438856,0.03319835870856283,-0.04238399779880847,-0.029712421120437968,-0.07893892195682804,-0.0026202659212451822,-0.052750603405008804,0.04610151219430823,-0.09122512198447766,0.020282641685856338
clinical_plus_transmural_sparse,family,Endo–Mid,0.6435590109059497,0.30856830190699036,0.06435590109059497,0.09794658604182414,0.06140265630061551,0.14298131951193174,0.06921367048214663,0.07353202368884258,0.05465033838627332,0.10386861571464363,-0.011700734616874505,0.13564182271509484,0.004929058299918808,0.15598131996890247
clinical_plus_variability_sparse,family,clinical,0.6497138537954864,0.2875482547116992,0.0399524889320807,0.056707339020264154,0.010366051182377706,0.11932836626714172,0.042102654440216464,0.03860275851328385,0.012718245170648918,0.07725803125319268,-0.037161137551325205,0.11903717654931875,-0.01752736664041949,0.13448887492081738
clinical_plus_variability_sparse,family,variability,0.6497138537954864,0.2875482547116992,0.018464528668610147,0.043749775042291994,0.006462585034013538,0.08753104416369717,0.006526432332394583,0.0074809070422129755,-0.0422551964826241,0.04633007652687988,-0.040834084063489436,0.07886408730158721,-0.05548496673823445,0.08393702602186956
combined_extra_trees,family,clinical,0.6718496922578556,0.3131839647427732,-0.008422416585681769,-0.0027264874203648723,-0.017989417989417916,0.016717957024079577,-0.014142526762374319,-0.002816114070071679,-0.030558615861474875,0.018929610904694864,-0.03838582630898647,0.021650895162179135,-0.04397145524181913,0.03357245832151081
combined_extra_trees,family,Endo–Mid,0.6718496922578556,0.3131839647427732,0.05388187020840085,0.06860310261670814,0.02376903142209268,0.11067109383435918,0.032323745746609955,0.033767092439640385,-0.0021797581569285096,0.07395038584098113,-0.005572445324283539,0.11532968471487244,-0.04230561177810673,0.12753405164281395
combined_extra_trees,family,variability,0.6718496922578556,0.3131839647427732,0.016304934672281668,0.025294244681999895,-0.0031530072346397653,0.050475110679192366,0.0009284995889597969,0.002418519663043859,-0.038120419936000044,0.021878166615194015,-0.009255467551693668,0.046865747124827585,-0.048431026548892794,0.04938002657622725
