model,feature,feature_family,description,used_fraction,auc_drop_screen,auc_drop_split_sd,auc_positive_split_fraction,ap_drop_screen,ap_drop_split_sd,ap_positive_split_fraction,native_importance_mean,selection_fraction,coefficient_median_when_selected,coefficient_sign_consistency,auc_rank_screen,ap_rank_screen,native_rank
clinical_plus_transmural_sparse,cur_tm_peak_layer_correlation,Endo–Mid,Current visit: Endo–Mid peak layer correlation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_layer_correlation,Endo–Mid,Change since previous visit: Endo–Mid peak layer correlation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010130528365040385,0.06666666666666667,0.15195792547560577,1.0,1.0,1.0,43.0
clinical_plus_transmural_sparse,cur_tm_ttp_layer_correlation,Endo–Mid,Current visit: Endo–Mid time-to-peak layer correlation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031476007294850276,0.2,0.15409915486916953,1.0,1.0,1.0,31.0
clinical_plus_transmural_sparse,d_tm_ttp_layer_correlation,Endo–Mid,Change since previous visit: Endo–Mid time-to-peak layer correlation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_fraction_endo_peak_gt_mid,Endo–Mid,Current visit: Endo–Mid fraction endo peak gt mid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_fraction_endo_peak_gt_mid,Endo–Mid,Change since previous visit: Endo–Mid fraction endo peak gt mid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_fraction_ttp_discordant_gt_5pct_cycle,Endo–Mid,Current visit: Endo–Mid fraction time-to-peak discordant gt 5pct cycle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010472237717276763,0.06666666666666667,-0.15708356575915144,1.0,1.0,1.0,41.0
clinical_plus_transmural_sparse,d_tm_fraction_ttp_discordant_gt_5pct_cycle,Endo–Mid,Change since previous visit: Endo–Mid fraction time-to-peak discordant gt 5pct cycle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_gap_mean,Endo–Mid,Current visit: Endo–Mid peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_gap_mean,Endo–Mid,Change since previous visit: Endo–Mid peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849490200024236,1.0,-0.42283275346226934,1.0,1.0,1.0,5.0
clinical_plus_transmural_sparse,cur_tm_peak_gap_std,Endo–Mid,Current visit: Endo–Mid peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_gap_std,Endo–Mid,Change since previous visit: Endo–Mid peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_gap_robust_sd,Endo–Mid,Current visit: Endo–Mid peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_gap_robust_sd,Endo–Mid,Change since previous visit: Endo–Mid peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010454854961898194,0.06666666666666667,0.15682282442847292,1.0,1.0,1.0,42.0
clinical_plus_transmural_sparse,cur_tm_peak_gap_iqr,Endo–Mid,Current visit: Endo–Mid peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_gap_iqr,Endo–Mid,Change since previous visit: Endo–Mid peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_gap_p90_p10,Endo–Mid,Current visit: Endo–Mid peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_gap_p90_p10,Endo–Mid,Change since previous visit: Endo–Mid peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_gap_median,Endo–Mid,Current visit: Endo–Mid peak gap median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_gap_median,Endo–Mid,Change since previous visit: Endo–Mid peak gap median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_ratio_mean,Endo–Mid,Current visit: Endo–Mid peak ratio mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_ratio_mean,Endo–Mid,Change since previous visit: Endo–Mid peak ratio mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04239618182394921,0.13333333333333333,-0.3179713636796191,1.0,1.0,1.0,23.0
clinical_plus_transmural_sparse,cur_tm_peak_ratio_std,Endo–Mid,Current visit: Endo–Mid peak ratio std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12757379286768097,0.6666666666666666,-0.17009920732647277,1.0,1.0,1.0,12.0
clinical_plus_transmural_sparse,d_tm_peak_ratio_std,Endo–Mid,Change since previous visit: Endo–Mid peak ratio std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_ratio_robust_sd,Endo–Mid,Current visit: Endo–Mid peak ratio robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_ratio_robust_sd,Endo–Mid,Change since previous visit: Endo–Mid peak ratio robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006079452023874542,0.13333333333333333,0.045595890179059066,1.0,1.0,1.0,48.0
clinical_plus_transmural_sparse,cur_tm_peak_ratio_iqr,Endo–Mid,Current visit: Endo–Mid peak ratio IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_ratio_iqr,Endo–Mid,Change since previous visit: Endo–Mid peak ratio IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_ratio_p90_p10,Endo–Mid,Current visit: Endo–Mid peak ratio P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029723967251220684,0.2,-0.19018833044705236,1.0,1.0,1.0,32.0
clinical_plus_transmural_sparse,d_tm_peak_ratio_p90_p10,Endo–Mid,Change since previous visit: Endo–Mid peak ratio P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_peak_ratio_median,Endo–Mid,Current visit: Endo–Mid peak ratio median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_peak_ratio_median,Endo–Mid,Change since previous visit: Endo–Mid peak ratio median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_ttp_gap_mean,Endo–Mid,Current visit: Endo–Mid time-to-peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031154323024169287,0.06666666666666667,-0.046731484536253934,1.0,1.0,1.0,53.0
clinical_plus_transmural_sparse,d_tm_ttp_gap_mean,Endo–Mid,Change since previous visit: Endo–Mid time-to-peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008321545770715855,0.06666666666666667,-0.012482318656073783,1.0,1.0,1.0,62.0
clinical_plus_transmural_sparse,cur_tm_ttp_gap_std,Endo–Mid,Current visit: Endo–Mid time-to-peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04167693115053093,0.13333333333333333,-0.31257698362898195,1.0,1.0,1.0,24.0
clinical_plus_transmural_sparse,d_tm_ttp_gap_std,Endo–Mid,Change since previous visit: Endo–Mid time-to-peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2367565371875535,0.8666666666666667,0.267489518922271,1.0,1.0,1.0,6.0
clinical_plus_transmural_sparse,cur_tm_ttp_gap_robust_sd,Endo–Mid,Current visit: Endo–Mid time-to-peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_ttp_gap_robust_sd,Endo–Mid,Change since previous visit: Endo–Mid time-to-peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_ttp_gap_iqr,Endo–Mid,Current visit: Endo–Mid time-to-peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03585320008711935,0.2,-0.15305427438489924,1.0,1.0,1.0,27.0
clinical_plus_transmural_sparse,d_tm_ttp_gap_iqr,Endo–Mid,Change since previous visit: Endo–Mid time-to-peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_ttp_gap_p90_p10,Endo–Mid,Current visit: Endo–Mid time-to-peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017728658288280084,0.06666666666666667,-0.026592987432420126,1.0,1.0,1.0,58.0
clinical_plus_transmural_sparse,d_tm_ttp_gap_p90_p10,Endo–Mid,Change since previous visit: Endo–Mid time-to-peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_ttp_gap_median,Endo–Mid,Current visit: Endo–Mid time-to-peak gap median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_ttp_gap_median,Endo–Mid,Change since previous visit: Endo–Mid time-to-peak gap median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_peak_gap_mean,Endo–Mid,Current visit: Endo–Mid vendor peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_vendor_peak_gap_mean,Endo–Mid,Change since previous visit: Endo–Mid vendor peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_peak_gap_std,Endo–Mid,Current visit: Endo–Mid vendor peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_vendor_peak_gap_std,Endo–Mid,Change since previous visit: Endo–Mid vendor peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019783683294165647,0.06666666666666667,-0.002967552494124847,1.0,1.0,1.0,64.0
clinical_plus_transmural_sparse,cur_tm_vendor_peak_gap_robust_sd,Endo–Mid,Current visit: Endo–Mid vendor peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006417251195090088,0.06666666666666667,-0.09625876792635132,1.0,1.0,1.0,47.0
clinical_plus_transmural_sparse,d_tm_vendor_peak_gap_robust_sd,Endo–Mid,Change since previous visit: Endo–Mid vendor peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_peak_gap_iqr,Endo–Mid,Current visit: Endo–Mid vendor peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_vendor_peak_gap_iqr,Endo–Mid,Change since previous visit: Endo–Mid vendor peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_peak_gap_p90_p10,Endo–Mid,Current visit: Endo–Mid vendor peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_vendor_peak_gap_p90_p10,Endo–Mid,Change since previous visit: Endo–Mid vendor peak gap P90–P10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019609684342091377,0.06666666666666667,-0.0029414526513137067,1.0,1.0,1.0,65.0
clinical_plus_transmural_sparse,cur_tm_vendor_peak_gap_median,Endo–Mid,Current visit: Endo–Mid vendor peak gap median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_vendor_peak_gap_median,Endo–Mid,Change since previous visit: Endo–Mid vendor peak gap median,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_ttp_gap_mean,Endo–Mid,Current visit: Endo–Mid vendor time-to-peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_vendor_ttp_gap_mean,Endo–Mid,Change since previous visit: Endo–Mid vendor time-to-peak gap mean,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_ttp_gap_std,Endo–Mid,Current visit: Endo–Mid vendor time-to-peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033723913387180414,0.26666666666666666,-0.10143412109763676,1.0,1.0,1.0,28.0
clinical_plus_transmural_sparse,d_tm_vendor_ttp_gap_std,Endo–Mid,Change since previous visit: Endo–Mid vendor time-to-peak gap std,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_ttp_gap_robust_sd,Endo–Mid,Current visit: Endo–Mid vendor time-to-peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030587593331632234,0.06666666666666667,0.045881389997448355,1.0,1.0,1.0,54.0
clinical_plus_transmural_sparse,d_tm_vendor_ttp_gap_robust_sd,Endo–Mid,Change since previous visit: Endo–Mid vendor time-to-peak gap robust sd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,cur_tm_vendor_ttp_gap_iqr,Endo–Mid,Current visit: Endo–Mid vendor time-to-peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,d_tm_vendor_ttp_gap_iqr,Endo–Mid,Change since previous visit: Endo–Mid vendor time-to-peak gap IQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027098870781788183,0.06666666666666667,-0.04064830617268227,1.0,1.0,1.0,56.0
