stage,model,saved_auc,reconstructed_auc,saved_ap,reconstructed_ap,score_correlation,mean_absolute_score_difference
cnn,current_cnn,0.6826476622394989,0.6826476622394989,0.33948083626180037,0.33948083626180037,1.0,0.0
moment,moment_small_frozen_curves_scalars,0.6784364539466581,0.6784364539466581,0.33475091831415205,0.33475091831415205,0.9999999999922482,8.516172864196184e-07
rdst,rdst_shapelet_curves_scalars,0.6613756613756614,0.6613756613756614,0.32136892245303256,0.32136892245303256,1.0,3.761361553688367e-17
catch22,catch22_xgb_curves_scalars,0.6459345643019112,0.6459345643019112,0.3289288420558695,0.3289288420558695,1.0,1.6574626825089325e-17
