stage,item,base_auc,base_ap,auc_drop,auc_drop_permutation_mean,auc_drop_permutation_low,auc_drop_permutation_high,ap_drop,ap_drop_permutation_mean,ap_drop_permutation_low,ap_drop_permutation_high,auc_ci_low,auc_ci_high,ap_ci_low,ap_ci_high,rank_auc,rank_ap
rdst,shapelet_all,0.6613756613756614,0.32136892245303256,0.06284418529316493,0.08085519922254625,0.041129467660079855,0.12987798293920738,0.06849596373200922,0.06587335302960334,0.035597455265065636,0.10185798702426666,-0.02110394215285515,0.15155074922770362,-0.01604780717882514,0.18077473805713315,2,2
rdst,scalar_all,0.6613756613756614,0.32136892245303256,0.04891480401684478,0.04889320807688147,0.03990929705215418,0.058794946550048466,0.04716367221320267,0.045489113616645094,0.0398810774335599,0.0497732534621268,0.019548648049645442,0.08242364341179649,0.019037608191578258,0.09113715557773898,3,3
rdst,shapelet_output::minimum_distance,0.6613756613756614,0.32136892245303256,-0.0014037360976136837,0.00025915127955944417,-0.008897527264874139,0.0071914480077744924,-0.016992584856633963,-0.0123538275576906,-0.027836501124090085,-0.0005565805466827278,,,,,100,101
rdst,shapelet_output::best_match_location,0.6613756613756614,0.32136892245303256,0.06997084548104959,0.07336140805528557,0.0554259799157758,0.08829500053989847,0.06878265209842033,0.06569138868146157,0.05336557978728862,0.07339999163977912,0.007827370290901437,0.1257822176216583,0.005293020457338493,0.1421434574981371,1,1
rdst,shapelet_output::shapelet_occurrence,0.6613756613756614,0.32136892245303256,-0.03196199114566467,-0.025807148256127954,-0.03918583306338419,-0.013465068567109384,-0.016408859636632245,-0.016445218269992623,-0.03900346961935858,0.009238233456257017,,,,,101,100
rdst,scalar::history_visits,0.6613756613756614,0.32136892245303256,-0.00021595939963281463,-0.0002375553395961294,-0.0005183025591187773,8.638375985314806e-05,0.0005552633750871006,0.0003328852019636175,-0.001187026566265681,0.0010026175422832018,,,,,66,47
rdst,scalar::days_since_first,0.6613756613756614,0.32136892245303256,-0.0012957563977972208,-0.0011445848180542395,-0.0014901198574668317,-0.0006910700788251845,-0.00140725948865289,-0.0010892681997812237,-0.0019945167128281316,9.908151376691876e-05,,,,,98,94
rdst,scalar::days_since_previous,0.6613756613756614,0.32136892245303256,-0.0012957563977972208,-0.0010366051182376657,-0.0013929381276320818,-0.0006586761688801568,-0.0016406278778239858,-0.0012741658564851543,-0.0019432602568176804,-0.0004962894573852239,,,,,98,97
rdst,scalar::has_previous_visit,0.6613756613756614,0.32136892245303256,-0.00021595939963281463,-8.638375985314806e-05,-0.00020516142965121276,0.0,-0.00045171016929118624,-0.0003235594414112142,-0.00044960079841105394,-3.435418963365633e-05,,,,,66,80
rdst,scalar::current_mid_gls,0.6613756613756614,0.32136892245303256,-0.0006478781988986659,-0.00019436345966961088,-0.0005398984990822031,0.0003023431594859627,-0.00011214052336139257,-0.0003060166408164755,-0.0008959435339180311,0.0005057329315499848,,,,,91,66
rdst,scalar::current_endo_gls,0.6613756613756614,0.32136892245303256,-0.0005398984990822031,-0.0005183025591188883,-0.0010474030882194896,-1.0797969981601874e-05,2.60976086829956e-05,-0.00022813213899963714,-0.001501232178725831,0.0005964218684974543,,,,,84,62
