stage,item,base_auc,base_ap,auc_drop,auc_drop_permutation_mean,auc_drop_permutation_low,auc_drop_permutation_high,ap_drop,ap_drop_permutation_mean,ap_drop_permutation_low,ap_drop_permutation_high,auc_ci_low,auc_ci_high,ap_ci_low,ap_ci_high,rank_auc,rank_ap
cnn,curve_all,0.6826476622394989,0.33948083626180037,0.009070294784580435,0.009674981103552471,0.0015279127524024938,0.019268977432242762,0.012506728462089056,0.006400257267250575,-0.002313856926991542,0.021538855127182233,-0.0014094192341407462,0.020911143748282592,-0.018503117526702043,0.05061154384745896,2,4
cnn,scalar_all,0.6826476622394989,0.33948083626180037,0.1282798833819241,0.16470143613000754,0.12111543029910377,0.20846560846560847,0.1156969301670088,0.1103361077902438,0.05745506430299724,0.14240809003567467,0.011847266449236163,0.24127939304116028,0.022916299643127885,0.2197356074986214,1,1
cnn,curve_channel::current_endo,0.6826476622394989,0.33948083626180037,0.005776913940179207,0.005237015441097004,0.0020246193715581784,0.00761256883705852,0.010339609037333553,0.011433741132752362,0.0028945028731700573,0.02349767913585543,-0.0012212947309100026,0.01317988519212751,-0.011272478337528731,0.026364863109523344,6,5
cnn,curve_channel::current_mid,0.6826476622394989,0.33948083626180037,0.006748731238527039,0.005830903790087327,0.004135622502969394,0.008152467336140723,0.005367648428807714,0.007203600715092018,-0.0017968796198564174,0.015342766511688255,0.000768051812618989,0.014005406768265382,-0.003957937189307373,0.01802505252215351,4,47
cnn,curve_channel::current_endo_minus_mid,0.6826476622394989,0.33948083626180037,0.00032393909944916643,0.00037792894935739785,0.00016736853471543967,0.0005938883489903235,0.0008279074686967647,0.0021300705154343458,0.00047865345022096717,0.007291113121065007,,,,,72,79
cnn,curve_channel::change_endo,0.6826476622394989,0.33948083626180037,-0.0003239390994493885,0.000637080228916953,-0.0012147716229349292,0.002278371666126655,-0.005567050959860875,0.00010019571960956375,-0.005932562393275276,0.007591080730210642,,,,,90,124
cnn,curve_channel::change_mid,0.6826476622394989,0.33948083626180037,0.002375553395961516,0.001457725947521915,-0.0007882518086599344,0.0046215311521433655,0.0026600690363248747,0.004093940611857361,-0.000492977854197052,0.011513917864167222,-0.0033868061791971324,0.007872335271317815,-0.016604934047811323,0.020671029010297534,20,63
cnn,curve_channel::change_endo_minus_mid,0.6826476622394989,0.33948083626180037,0.00021595939963281463,0.0002807472195226479,-0.0001673685347155507,0.0005722924090270087,0.0071750376135857885,0.0048650082469099964,0.0003334764652037081,0.008073825994987183,-0.0007800018155410982,0.001069636217413128,-0.00044671059096044183,0.020929055673428905,74,28
cnn,segment::01,0.6826476622394989,0.33948083626180037,0.00037792894935750887,-0.00019436345966961088,-0.0035471331389699268,0.0016304934672281002,-0.003488009962800964,-0.0027256851620899303,-0.008315512618646825,0.0011655482585215537,,,,,67,118
cnn,segment::02,0.6826476622394989,0.33948083626180037,0.0004319187992657403,0.0004319187992657403,-4.8590864917374965e-05,0.0014739229024942624,0.0017344031979106278,0.0009256969631640799,-0.0038366147796991545,0.007620721633814609,,,,,61,66
cnn,segment::03,0.6826476622394989,0.33948083626180037,-5.398984990823141e-05,-0.0004643127092106569,-0.0009394233884030267,3.2393909944916643e-05,-3.4598884585401724e-05,-0.0005148854074987774,-0.002289369934161678,0.0015137838715287288,,,,,84,96
cnn,segment::04,0.6826476622394989,0.33948083626180037,-0.0004319187992658513,-0.0010797969981642952,-0.003439153439153464,0.0004211208292840274,-0.0005538022658301833,-0.001813909423204474,-0.005832249596098182,0.0016006525979616049,,,,,94,101
cnn,segment::05,0.6826476622394989,0.33948083626180037,0.003023431594860071,0.00248353309577809,0.0005722924090270087,0.004011445848180473,-0.0023310486877589076,-0.003366513547095773,-0.007906786648744779,0.0007940689483340035,-0.002253529900332238,0.00862427097969336,-0.018563282404844474,0.011493113719926808,14,111
cnn,segment::06,0.6826476622394989,0.33948083626180037,0.0008638375985313695,0.0008314436885864529,-0.0006100853039628928,0.00170068027210879,-0.0035580113733351126,-0.0011418578296327198,-0.004907219424485354,0.0030495433611529843,,,,,46,119
cnn,segment::07,0.6826476622394989,0.33948083626180037,0.001457725947521804,0.0012525645178705913,-0.0012579635028615588,0.0025753158406219834,0.00740214409418688,0.004653564122218512,0.0016348364456024167,0.007635786023223623,-0.0014265900289879869,0.004843767279440725,-0.002369381657982318,0.022288203212137193,36,24
cnn,segment::08,0.6826476622394989,0.33948083626180037,0.0010258071482560638,0.0011229888780908137,0.00022135838462367108,0.002154195011337845,0.001682457935122117,0.0014973590845721585,-0.004182982433726556,0.00728139325227406,,,,,41,68
cnn,segment::09,0.6826476622394989,0.33948083626180037,0.0006478781988985549,0.0008638375985313695,0.0004913076341647171,0.001284958427815508,0.001162203543634388,0.0016607156393103617,-0.0024325271531357995,0.007448273408320272,,,,,53,75
cnn,segment::10,0.6826476622394989,0.33948083626180037,0.0008098477486232492,0.000367130979375796,-0.0009070294784579991,0.0015603066623474104,0.0006236229633917456,-0.0016530117267066213,-0.0051066332853724195,0.0012487096357356453,,,,,48,83
cnn,segment::11,0.6826476622394989,0.33948083626180037,0.000917827448439601,0.00044271676924734216,-0.0009394233884030267,0.001333549292732994,0.0008958618951211417,0.0009418207741988538,-0.0040347780227069086,0.006668688839154446,,,,,43,77
cnn,segment::12,0.6826476622394989,0.33948083626180037,0.00026994924954104604,0.0005398984990822031,0.0003401360544217358,0.0006910700788251845,0.00017490761459493243,-0.0002488430954318277,-0.00428666825683699,0.0015909991250760425,,,,,73,92
cnn,segment::13,0.6826476622394989,0.33948083626180037,0.002375553395961516,0.0024943310657596918,0.0004967066191554625,0.005782312925170063,0.0032343559585488735,0.005221153006987944,-0.0019817702549067007,0.013209059459924621,-0.00016950791699343876,0.005962670972644395,-6.260742763095626e-05,0.009093258998382932,20,61
cnn,segment::14,0.6826476622394989,0.33948083626180037,0.0007018680488067863,0.0002807472195226479,-0.0009070294784581101,0.002019220386567211,-0.002070612932030591,-0.0011967891211729365,-0.00974685118771923,0.005533024430630251,,,,,52,109
cnn,segment::15,0.6826476622394989,0.33948083626180037,-0.0010258071482561748,-0.0011553827880358414,-0.0026401036605118167,8.098477486229161e-05,-0.006375255033111482,-0.0005884144489246013,-0.0046162565647955844,0.005480753450778253,,,,,104,127
cnn,segment::16,0.6826476622394989,0.33948083626180037,0.0018896447467875443,0.001284958427815508,0.0007936507936506798,0.0017546701220170213,0.00837173064060065,0.0050047153784153475,0.000619572323616091,0.008679537697307893,-0.0007577490905401163,0.004855602045099316,-0.002109544772888566,0.022234114766367875,28,14
cnn,segment::17,0.6826476622394989,0.33948083626180037,-0.0003239390994493885,-0.000367130979375907,-0.001284958427815619,0.0019436345966957758,-0.00023131382493751795,0.0020790809240061048,-0.001404324258487799,0.004775875181190159,,,,,90,98
cnn,segment::18,0.6826476622394989,0.33948083626180037,-0.00016196954972469424,-0.000550696469063916,-0.003514739229024899,0.0027588813303098814,0.006747162736559731,0.0033216736886209075,-0.0044416704497143855,0.00815775841580546,,,,,87,33
cnn,time_window::01-08,0.6826476622394989,0.33948083626180037,0.00043191879926562926,0.0003455350394125922,0.00017816650469704154,0.0004319187992657403,0.0006390839998862696,0.0007318861114105069,0.0006821520804289882,0.0008039639920754404,,,,,62,82
cnn,time_window::09-16,0.6826476622394989,0.33948083626180037,0.0005398984990820921,0.0003995248893207126,-1.0797969981601874e-05,0.000588489363999467,0.00696286956591563,0.0012794865701412639,-0.0008082699699730744,0.006413048788038667,,,,,57,31
cnn,time_window::17-24,0.6826476622394989,0.33948083626180037,0.00021595939963281463,0.0006046863189720364,3.239390994480562e-05,0.0011121909081092118,0.00632867510520263,0.007061095330938905,0.005713595146252082,0.008098016064704783,,,,,74,38
cnn,time_window::25-32,0.6826476622394989,0.33948083626180037,0.0005398984990822031,0.0006478781988984439,0.00035093402440333765,0.0008962315084762862,0.007275419970949826,0.00594613323509674,0.0008506646244208493,0.008216555468896991,-0.0023564375484778077,0.0037251476562554244,-0.0043422058017767145,0.023707182255074403,55,25
cnn,time_window::33-40,0.6826476622394989,0.33948083626180037,0.0008638375985313695,0.0009826152683295453,0.00013497462477052302,0.0016196954972464983,0.007706902517374492,0.006057582733556999,0.0007537093119531768,0.008952665021884854,-0.002462928389924976,0.004457458213852021,-0.0033434644140940494,0.025097863177002227,46,21
cnn,time_window::41-48,0.6826476622394989,0.33948083626180037,0.0001079796998163518,9.718172983463891e-05,-0.0008476406435591333,0.0019112406867508591,0.007533588743490194,0.0060672543408215596,-0.00037121995738964575,0.010210295967100158,-0.003489074878609616,0.0034691732794421932,-0.0037524758403976845,0.022369997293596088,78,23
cnn,time_window::49-56,0.6826476622394989,0.33948083626180037,0.0005398984990820921,0.0007666558686966196,-0.0004049238743117911,0.0022567757261634513,0.008400219643988682,0.005689644187485132,0.00039496922984155747,0.008896724152941904,-0.002441811656647375,0.0037060620469510025,-0.0020722012938283766,0.021250171401387515,57,13
cnn,time_window::57-64,0.6826476622394989,0.33948083626180037,0.002375553395961516,0.0022675736961450532,-0.00021595939963292565,0.0034445524241442094,0.004933833683899935,0.004463017165478922,0.0005831699182025085,0.006639440219163073,-0.0010053060015526138,0.006215792902967339,3.889661083679458e-05,0.013085159661223728,20,51
cnn,time_window::65-72,0.6826476622394989,0.33948083626180037,0.0016196954972464983,0.000820645718604962,-0.0009610193283663415,0.0017222762120719937,0.0040227309083066265,0.0017601269784137674,-0.0014484424361908,0.0040730039137897855,,,,,33,57
cnn,time_window::73-80,0.6826476622394989,0.33948083626180037,0.0004859086491738607,0.0008962315084763972,-0.00028074721952286996,0.0023917503509339744,0.0017268508215255718,0.0061176581424822185,0.0018811375346278192,0.009959792452441996,,,,,60,67
cnn,time_window::81-88,0.6826476622394989,0.33948083626180037,0.0012417665478888784,0.0012309685779072765,0.0005830903790087216,0.0021703919663103033,0.0027181036479738685,0.00647782422341836,0.0014861782424042125,0.0109092532226705,,,,,39,62
cnn,time_window::89-96,0.6826476622394989,0.33948083626180037,0.00021595939963281463,0.0003563330093941941,2.159593996331477e-05,0.0008152467336139946,0.0077576598564386146,0.0040751218274985845,0.0003738631708847251,0.00889234743571582,-0.001192873212612941,0.0016951037605919509,-0.0016836323561588704,0.02357377998406854,74,19
cnn,scalar::history_visits,0.6826476622394989,0.33948083626180037,0.00037792894935750887,0.00023755533959601838,-0.002461937155814775,0.004043839758125278,-0.0033002887049098373,-0.004127251182422409,-0.011075133343181887,-0.0005635609893189786,,,,,67,117
cnn,scalar::days_since_first,0.6826476622394989,0.33948083626180037,0.0045351473922901064,0.00593888348990379,0.003352769679300205,0.007423604362379765,-0.0030509972776700534,-0.0014412022003451597,-0.007642396255858608,0.0014269006635970194,-0.005161859625963822,0.014898093887977611,-0.033783536436466595,0.01828237031757369,8,116
cnn,scalar::days_since_previous,0.6826476622394989,0.33948083626180037,0.0020516142965121276,0.002829068135190571,-0.0013605442176871652,0.009415829823993027,0.0012894537204982126,-9.937765326489822e-05,-0.006749737511765053,0.008956103909630142,-0.01032709791264486,0.012687527481464567,-0.015734087551182416,0.015716819041437523,27,74
