split,seed_index,shapelet_index,importance_abs_standardized_coefficient_sum,coef_minimum_distance,coef_best_match_location,coef_shapelet_occurrence,startpoint,length_points,dilation,effective_span,normalized,threshold,source_class,dominant_inputs
11,2,456,0.18964993202044084,-0.02352706209029334,-0.09688470071369486,0.06923816921645264,39,11,1,11,True,1070.5746977304327,0,S01:change_mid;S02:change_mid;S09:change_mid;S09:change_endo_minus_mid;S17:change_mid
9,0,887,0.1891186202218479,0.0026217709887814303,-0.09434622131423555,-0.09215062791883093,61,11,1,11,False,6995.500359775144,0,S18:current_endo;S09:current_endo;S07:current_endo;S18:current_mid;S15:current_endo
6,0,1120,0.18858337267927003,-0.0670177732445078,0.03817260257875314,0.08339299685600908,48,11,1,11,True,966.0908373962462,1,S13:change_endo_minus_mid;S04:current_mid;S17:current_endo_minus_mid;S04:current_endo;S16:current_endo
5,2,325,0.1865565642149019,0.05846913324639744,0.061326724868041915,-0.06676070610046256,55,11,1,11,False,11060.134296200114,0,S06:current_endo;S06:current_mid;S02:current_endo;S02:current_mid;S10:current_endo
4,2,757,0.18436091245789138,-0.07924230829301934,-0.013500789977890238,0.0916178141869818,10,11,1,11,False,8483.16973961465,0,S06:change_endo;S06:change_mid;S03:current_mid;S03:current_endo;S13:current_endo
10,0,91,0.18296185865701559,-0.0719858622024048,-0.04541362292160764,0.06556237353300313,70,11,1,11,True,1166.9616227424183,0,S13:change_mid;S13:change_endo;S03:current_mid;S01:change_mid;S03:current_endo
6,1,85,0.18267669081656313,-0.04404984488195704,-0.05015920553853014,0.08846764039607592,45,11,1,11,True,1075.833120106025,1,S14:current_mid;S07:current_endo_minus_mid;S01:current_endo;S01:current_mid;S01:current_endo_minus_mid
4,1,961,0.18250132777409453,0.022402079033440096,0.14346475539963763,0.016634493341016802,85,11,1,11,True,1082.7051678566147,0,S03:change_mid;S03:change_endo;S16:change_endo;S16:change_mid;S18:change_endo_minus_mid
4,0,647,0.18247229631112682,-0.04895491076231889,0.024944016753686068,0.10857336879512187,10,11,1,11,False,7095.087037824003,1,S18:current_endo;S07:current_endo;S18:current_mid;S13:current_endo;S07:current_mid
6,1,203,0.18132219033519437,0.010000253584297457,-0.14309770784429188,0.028224228906605017,85,11,1,11,False,4760.349256338366,0,S03:current_endo;S03:current_mid;S18:current_endo;S12:current_endo;S12:current_mid
14,0,1102,0.1809970980577126,-0.05123377152231174,0.11116986235557436,0.01859346417982652,34,11,1,11,True,709.7484797060417,1,S12:change_endo_minus_mid;S04:change_endo_minus_mid;S03:change_endo_minus_mid;S11:change_endo_minus_mid;S10:change_endo_minus_mid
0,1,228,0.18096330498076899,-0.03574905768510062,0.11500739644598175,0.030206850849686613,50,11,1,11,True,1139.2722227992217,1,S18:current_endo_minus_mid;S16:change_endo_minus_mid;S10:change_mid;S16:change_mid;S10:change_endo
14,2,579,0.18089556534102536,0.039889008109221386,0.13696015994721358,0.004046397284590383,42,11,2,21,True,1169.498428102137,0,S04:change_endo;S04:change_mid;S04:current_endo;S10:change_mid;S04:current_mid
2,1,431,0.18043704727549162,-0.053697973179745756,0.10693668176920168,-0.01980239232654419,79,11,1,11,True,993.1262461867781,1,S05:change_endo_minus_mid;S08:change_mid;S14:current_mid;S14:change_endo;S10:change_endo
9,0,189,0.18013401283701885,-0.023017518274851583,0.09542719209912766,0.0616893024630396,47,11,2,21,True,972.2731251943189,0,S17:change_endo;S17:change_mid;S05:change_mid;S05:change_endo;S15:current_mid
1,1,923,0.1793885726088662,0.04518025344904881,0.1008985330454202,-0.033309786114397194,18,11,1,11,False,15556.17420419469,0,S06:current_endo;S06:current_mid;S01:current_endo;S06:change_endo;S06:change_mid
1,2,123,0.17822133641866478,-0.009697804055051046,0.03445409125862326,0.13406944110499047,66,11,1,11,False,6574.419827173735,1,S05:current_endo;S15:current_endo;S05:current_mid;S14:current_endo;S01:current_endo
14,2,135,0.17815026122704153,-0.011858085645187921,0.03511302133162937,-0.13117915425022425,79,11,1,11,False,4981.52792822661,1,S01:current_endo;S01:current_mid;S12:current_endo;S04:current_endo;S18:current_endo
14,1,769,0.17653728721135803,0.02201815387399659,0.1355396577926356,0.018979475544725843,75,11,1,11,True,1214.173314795111,0,S08:change_endo_minus_mid;S18:change_endo_minus_mid;S02:current_mid;S08:current_mid;S15:current_mid
12,0,1119,0.17617663256506613,0.028753579328713204,0.09004437213453764,-0.05737868110181529,40,11,3,31,True,960.4281255987643,0,S01:change_mid;S14:current_mid;S05:change_mid;S05:change_endo;S01:change_endo
