segment,coefficient_energy_attribution
6,0.568071650314704
15,0.5655590967753908
5,0.563509275110078
16,0.5633569625749317
1,0.5572950466679181
8,0.5482680646399279
13,0.5478299256245927
14,0.5453783287439778
18,0.5453122051764119
10,0.5403358042425609
9,0.5401436411155683
7,0.5359052353693478
4,0.5351510000573094
17,0.5278612023787205
2,0.5215093356945799
12,0.5210403172592522
11,0.5201530490214065
3,0.5132558950155731
