ensemble,component,full_auc,full_ap,leave_one_out_auc_drop,leave_one_out_ap_drop,shapley_auc,shapley_ap,leave_one_out_auc_ci_low,leave_one_out_auc_ci_high,leave_one_out_ap_ci_low,leave_one_out_ap_ci_high,shapley_auc_ci_low,shapley_auc_ci_high,shapley_ap_ci_low,shapley_ap_ci_high
CNN + MOMENT + RDST,current_cnn,0.7062952164992982,0.3617713596194206,0.012957563977972208,0.013214491634931325,0.07409207069071012,0.060152230962317046,-0.0008598578188294761,0.027062304910650672,-0.001183877128010069,0.03150523664364913,0.03821817151359773,0.1062172272172272,0.02341303505660051,0.10656899752541067
CNN + MOMENT + RDST,moment_small_frozen_curves_scalars,0.7062952164992982,0.3617713596194206,0.010797969981643507,-0.008559282657338796,0.07090666954612536,0.04690038484235783,-0.025436226374895194,0.04518145075598919,-0.07153692163940654,0.06730105206053642,0.017408961986054784,0.11597782459092283,-0.00830988781791835,0.12728806065120019
CNN + MOMENT + RDST,rdst_shapelet_curves_scalars,0.7062952164992982,0.3617713596194206,0.008638375985314806,0.008694725266203518,0.06129647626246267,0.048836390873569245,-0.028583421234121626,0.04605266965678645,-0.04703811950640387,0.0733081512802008,0.009904613258276967,0.11215071556066053,-0.003334541191986749,0.12988312579609346
CNN + MOMENT + Catch22,current_cnn,0.6978727999136163,0.36415604858583683,0.014469279775402244,0.022722427651844068,0.0744340064067955,0.05793641053429056,0.0006010406059934914,0.029148600076261237,-0.0019677760707807186,0.04231528054893189,0.03991533659170075,0.10691716243551694,0.019208223658060436,0.10655097924249086
CNN + MOMENT + Catch22,moment_small_frozen_curves_scalars,0.6978727999136163,0.36415604858583683,0.018788467768059647,0.018576281308224973,0.07448799625670378,0.053498378388656856,-0.019720425483626212,0.05311002822881677,-0.046432159720862044,0.0669825835706824,0.021571831271864062,0.11768055794342194,-0.0036098253701750535,0.1253587863123032
CNN + MOMENT + Catch22,catch22_xgb_curves_scalars,0.6978727999136163,0.36415604858583683,0.00021595939963292565,0.011079414232619766,0.04895079725011699,0.04683890672171296,-0.02719251145880481,0.030094605475040392,-0.0426763806229054,0.05614719731264876,0.004009655199872594,0.09524007253384918,-0.005269813227899918,0.11681492829373452
