split,transition_index,segment,attention_weight
0,6,1,0.05112091824412346
0,6,2,0.04365936666727066
0,6,3,0.04054505378007889
0,6,4,0.045249175280332565
0,6,5,0.07295075058937073
0,6,6,0.03832871839404106
0,6,7,0.05216101557016373
0,6,8,0.07853269577026367
0,6,9,0.055430300533771515
0,6,10,0.04344405606389046
0,6,11,0.046206455677747726
0,6,12,0.04280316084623337
0,6,13,0.07731515914201736
0,6,14,0.04963284358382225
0,6,15,0.07316479086875916
0,6,16,0.08558008074760437
0,6,17,0.04810580238699913
0,6,18,0.055769652128219604
0,7,1,0.052998583763837814
0,7,2,0.04188089445233345
0,7,3,0.03642980381846428
0,7,4,0.052393924444913864
0,7,5,0.06661321222782135
0,7,6,0.0498301237821579
0,7,7,0.052221521735191345
0,7,8,0.07305321097373962
0,7,9,0.05703296884894371
0,7,10,0.03995784744620323
0,7,11,0.052259787917137146
0,7,12,0.039416469633579254
0,7,13,0.06664574891328812
0,7,14,0.048741213977336884
0,7,15,0.0741674080491066
0,7,16,0.09311766177415848
0,7,17,0.05499556288123131
0,7,18,0.04824398085474968
0,8,1,0.051084116101264954
0,8,2,0.04302239045500755
0,8,3,0.03972733020782471
0,8,4,0.04778449237346649
0,8,5,0.06445824354887009
0,8,6,0.042118221521377563
0,8,7,0.050433527678251266
0,8,8,0.08258435875177383
0,8,9,0.058176323771476746
0,8,10,0.04163435846567154
0,8,11,0.05380431190133095
0,8,12,0.04488663375377655
0,8,13,0.06890081614255905
0,8,14,0.04798908904194832
0,8,15,0.07578366994857788
0,8,16,0.08372119814157486
0,8,17,0.046700362116098404
0,8,18,0.05719055235385895
0,39,1,0.05380813032388687
0,39,2,0.041587769985198975
0,39,3,0.03539177030324936
0,39,4,0.049940865486860275
0,39,5,0.06668794900178909
0,39,6,0.044919975101947784
0,39,7,0.05607467517256737
0,39,8,0.08166788518428802
0,39,9,0.05963292717933655
0,39,10,0.048133302479982376
0,39,11,0.05130021646618843
0,39,12,0.042927086353302
0,39,13,0.07005920261144638
0,39,14,0.04482411965727806
0,39,15,0.065016008913517
0,39,16,0.09618131816387177
0,39,17,0.04958852380514145
0,39,18,0.04225833714008331
0,40,1,0.050235506147146225
0,40,2,0.04579581692814827
0,40,3,0.036987122148275375
0,40,4,0.0438215397298336
0,40,5,0.06664066016674042
0,40,6,0.0408528670668602
0,40,7,0.04984457418322563
0,40,8,0.08054113388061523
0,40,9,0.06466923654079437
0,40,10,0.04360276460647583
0,40,11,0.05183648690581322
0,40,12,0.04143815115094185
0,40,13,0.07237308472394943
0,40,14,0.049613893032073975
0,40,15,0.07971949130296707
0,40,16,0.09037813544273376
0,40,17,0.04552827402949333
0,40,18,0.04612120985984802
0,41,1,0.04365412890911102
0,41,2,0.047325409948825836
0,41,3,0.0396370030939579
0,41,4,0.05221845954656601
0,41,5,0.06457571685314178
0,41,6,0.040641725063323975
0,41,7,0.050506945699453354
0,41,8,0.08328203856945038
0,41,9,0.05992725118994713
0,41,10,0.03886590898036957
0,41,11,0.049912430346012115
0,41,12,0.044042184948921204
0,41,13,0.07706091552972794
0,41,14,0.0471869632601738
0,41,15,0.0731738731265068
0,41,16,0.08484173566102982
0,41,17,0.0506860576570034
0,41,18,0.05246124789118767
0,53,1,0.051408346742391586
0,53,2,0.05072885379195213
0,53,3,0.037300240248441696
0,53,4,0.04245545342564583
0,53,5,0.0759487897157669
0,53,6,0.030881494283676147
0,53,7,0.049851011484861374
0,53,8,0.0771448090672493
0,53,9,0.05390837788581848
0,53,10,0.04237261041998863
0,53,11,0.052147842943668365
0,53,12,0.04627944901585579
0,53,13,0.07839792966842651
0,53,14,0.046528689563274384
0,53,15,0.06647051870822906
0,53,16,0.0860612541437149
0,53,17,0.05242868512868881
0,53,18,0.05968569964170456
0,54,1,0.05308612436056137
0,54,2,0.04801204055547714
0,54,3,0.035679519176483154
0,54,4,0.041723769158124924
0,54,5,0.07402738183736801
0,54,6,0.04957239702343941
0,54,7,0.04959055408835411
0,54,8,0.08170114457607269
0,54,9,0.05989069491624832
0,54,10,0.04325893148779869
0,54,11,0.055552344769239426
0,54,12,0.044790398329496384
0,54,13,0.06668253242969513
0,54,14,0.044550471007823944
0,54,15,0.07460799813270569
0,54,16,0.09074455499649048
0,54,17,0.047586098313331604
0,54,18,0.038943082094192505
0,67,1,0.05749630555510521
0,67,2,0.044240280985832214
0,67,3,0.03956848382949829
0,67,4,0.05116324871778488
0,67,5,0.07003437727689743
0,67,6,0.04262343421578407
0,67,7,0.049155186861753464
