curve_channel,coefficient_energy_attribution
current_endo,0.7111077212282615
current_mid,0.66735801432516
change_endo,0.48597387088109784
change_mid,0.482857032893821
current_endo_minus_mid,0.4737609012077211
change_endo_minus_mid,0.4322544713913558
